,Attributes,Description
0,Latin Name,Acer saccharum nigrum
1,Common Name,Black Maple
2,Family,Aceraceae
3,USDA hardiness,4-6
4,Known Hazards,None known
5,Habitats,"Rich calcareous or alluvial woods[43]. Found in a variety of soil types, near streams, rivers and in rich woodlands, usually below 750 metres but up to 1650 metres in the south of its range[229]."
6,Range,"Eastern N. America - Quebec to Alabama, west to South Dakota and Arkansas."
7,Edibility Rating,(4 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,No
10,Medicinal Rating,(1 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/AcerNigrum.jpg, https://pfaf.org/../Admin/PlantImages/AcerNigrum2.jpg"
13,Summary,"Bloom Color: Green.Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Rounded."
14,Physical Characteristics,"Acer saccharum nigrum is a deciduous Tree growing to 25 m (82ft 0in) at a slow rate. See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower in April, and the seeds ripen in October. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in heavy clay soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,A. nigrum. Michx.f.
16,Plant Habitats,Woodland Garden Canopy;
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans."
18,Edible Uses,"Inner bark: the bark that is found just beneath the tough outer bark of trees and shrubs.,Sap: usually of trees and usually but not always used as a drink.,Sweetener: includes sugar substitutes."
19,Edible Uses Description,"ins reasonable quantities of sugar and can be used as a drink or concentrated into a syrup by boiling off the water[1, 2, 11, 43, 34, 57, 142, 159]. The syrup is used as a sweetener on many foods. The sap can be harvested in late winter or early spring[[142], the flow is best on a warm sunny day after a frost. Trees on southern slopes in sandy soils give the best yields. It is best to make a hole about 7cm deep and about 1.3 metres above the ground[171]. Yields of 40 - 100 litres per tree can be obtained[142]. The best sap production comes from cold-winter areas with continental climates. Seed - boiled then roasted[62, 105, 159]. The seed is about 6mm long and is produced in small clusters[82]. Inner bark - cooked. It is dried, ground into a powder and then used as a thickening in soups etc or mixed with cereals when making bread[105, 161]."
20,Medicinal Uses,"Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc."
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.AstringentA decoction of the inner bark has been used in the treatment of diarrhoea[257].
22,Other Uses,"Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Preservative: For food, or for treating wood, ropes etc.,Wood: A list of the trees and shrubs that are noted for having useful wood."
23,Other Uses Description,"The leaves are packed around apples, rootcrops etc to help preserve them[18, 20].  - close grained, tough, hard, heavy. Used for furniture, ship building, etc[43, 46, 61, 82, 171]. It is a good fuel[82]. A dynamic accumulator gathering minerals or nutrients from the soil and storing them in a more bioavailable form - used as fertilizer or to improve mulch."
24,Cultivation Details,
25,Cultivation Details Description,"Landscape Uses:Specimen, Street tree. Of easy cultivation, it prefers a good moist well-drained soil but succeeds on most soils[11, 98]. Chlorosis can often develop as a result of iron deficiency when the plants are grown in alkaline soils, but in general maples are not fussy as to soil pH. Grows well in heavy clay soils. Trees need full light and a lot of space[98]. Plants are hardy to about -45°c when fully dormant[160]. This species is not a great success in Britain[1], though it does better than once thought[11]. It grows well in Cornwall[59]. Slow growing when young[11]. Plants produce prodigious root growth but very little top growth in first year from seed[133]. Trees grow rapidly for their first 25 years in the wild, but then slow down and only occasionally surviving for more than 200 years[229]. A very ornamental tree[1] but a bad companion plant, inhibiting the growth of nearby plants[18, 20]. This species is commercially exploited in America for its sap[1, 11]. Along with A. saccharum and the sub-species A. s. grandidentatum it is the major source of maple syrup[11]. There are some named varieties[183]. The sap can be tapped within 10 - 15 years from seed but it does not flow so well in areas with mild winters[160].  Special Features:North American native, Inconspicuous flowers or blooms. The plant is heat tolerant in zones 8 through 1. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. Plant Heat Zones show when plants would start suffering from the heat.  The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a standard with a non-suckering single trunk [1-2]. The root pattern is flat with shallow roots forming a plate near the soil surface [1-2]."
