,Attributes,Description
0,Latin Name,Ageratina altissima
1,Common Name,"White Snakeroot, Richweed"
2,Family,Asteraceae or Compositae
3,USDA hardiness,5-9
4,Known Hazards,"The plant contains tremetol, a complex alcohol, and glycosides. These toxins cause a fatal disease known as 'staggers' in cattle. The toxin can be passed through the milk and has caused fatalities in humans who have drunk affected cow's milk[274]."
5,Habitats,Low woods in river valleys in Texas[274].
6,Range,Eastern N. America.
7,Edibility Rating,(0 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/AgeratinaAltissima.jpg, https://pfaf.org/../Admin/PlantImages/AgeratinaAltissima2.jpg"
13,Summary,
14,Physical Characteristics,"Ageratina altissima is a PERENNIAL growing to 2 m (6ft 7in).  See above for USDA hardiness. It is hardy to UK zone 6.  It is in flower from August to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,"Eupatorium ageratoides. E. rugosum. E. urticaefolium,"
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade;
17,Edible Uses Description,None known
18,Medicinal Uses,"Diaphoretic: Induces perspiration.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Febrifuge: Reduces fevers.,Odontalgic: Treats toothache (temporary measure only) and other problems of the teeth and gums.,Stimulant: Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.,Urinary: Treats urinary problems, including urinary tract infection (UTI)."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Diaphoretic  Diuretic  Febrifuge  Odontalgic  Stimulant  Tonic  UrinaryThe root is diaphoretic, diuretic, febrifuge, stimulant and tonic[257]. It has been used in the treatment of diarrhoea, gravel and urinary diseases[257]. It has also been used in herbal sweat baths to encourage sweating[257]. A decoction or infusion of the root has been taken to treat a fallen or inflamed womb[257]. The root has been chewed and held in the mouth as a treatment for toothache[257]."
20,Other Uses,
21,Other Uses Description,None known
22,Cultivation Details,
23,Cultivation Details Description,Succeeds in an ordinary well-drained but moisture retentive garden soil in sun or part shade[200]. There is some difference of opinion over the correct name for this species with some authorities using Eupatorium rugosum[K].
24,Plant Propagation,"Seed - sow spring in a cold frame, only just covering the seed. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division in spring."
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
