,Attributes,Description
0,Latin Name,Ajuga chamaepitys
1,Common Name,"Ground Pine, Yellow bugle"
2,Family,Lamiaceae or Labiatae
3,USDA hardiness,5-9
4,Known Hazards,None known
5,Habitats,"Very local in sandy and chalky arable fields and in open habitats in chalky grassland in southeastern England[4, 17]."
6,Range,"CentraL and souther Europe, including Britain, to N. Africa and E. Asia."
7,Edibility Rating,(0 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/AjugaChamaepitys.jpg, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Ajuga chamaepitys is a ANNUAL growing to 0.2 m (0ft 8in) by 0.2 m (0ft 8in).  See above for USDA hardiness. It is hardy to UK zone 6.  It is in flower from May to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil."
15,Synonyms,
16,Plant Habitats,Meadow; Cultivated Beds;
17,Edible Uses Description,None known
18,Medicinal Uses,"Antirheumatic: Treats rheumatism.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Emmenagogue: Promotes or increases the menstrual flow. In early stages of pregnancy it can induce an abortion.,Stimulant: Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being.,Urinary: Treats urinary problems, including urinary tract infection (UTI).,Women's complaints: A very vague title, it deals with a miscellany of problems peculiar to the female sex."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antirheumatic  Diuretic  Emmenagogue  Stimulant  Urinary  Women's complaintsThe leaves are diuretic, stimulant and emmenagogue[4]. The plant acts mainly on the urinary system and uterus[238]. It once had a high reputation in the treatment of rheumatism, dropsy, jaundice etc and has also proved of worth when used in conjunction with other herbs in the treatment of women's complaints[4]. The leaves are harvested in the summer and can be dried for later use[238]."
20,Other Uses,
21,Other Uses Description,None known
22,Cultivation Details,
23,Cultivation Details Description,"Thrives in a poor dry soil in full sun[238]. Prefers a humus-rich moisture-retentive soil[200]. Plants are usually annual, but are sometimes short-lived perennials[200]. The whole plant smells of pine trees when crushed[17, 238]."
24,Plant Propagation,Seed - sow spring in situ. Germination can be erratic[238].
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
