,Attributes,Description,age
0,Latin Name,Anthemis arvensis,
1,Common Name,Corn Chamomile,
2,Family,Asteraceae or Compositae,
3,USDA hardiness,4-8,
4,Known Hazards,None known,
5,Habitats,A locally common calcicolous plant of arable land and waste places throughout Britain[17].,
6,Range,"Most of Europe, including Britain, south and east to N. Africa and W. Asia.",
7,Edibility Rating,(0 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/AnthemisArvensis.jpg, https://pfaf.org/../Admin/PlantImages/AnthemisArvensis2.jpg",
13,Summary,"Anthemis arvensis or scentless chamomile is considered to be one of the best febrifuge species indigenous to France. Commonly known as corn chamomile, mayweed, scentless chamomile, or field chamomile.",
14,Physical Characteristics,"Anthemis arvensis is a ANNUAL growing to 0.4 m (1ft 4in) by 0.3 m (1ft).  See above for USDA hardiness. It is hardy to UK zone 5 and is not frost tender.  It is in flower from June to July, and the seeds ripen from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Flies, beetles. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers dry or  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Uses Description,None known,
18,Medicinal Uses,Febrifuge: Reduces fevers.,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.FebrifugeThis species is considered to be one of the best febrifuge species indigenous to France[4]. The flowers and leaves are used[4].,
20,Other Uses,,
21,Other Uses Description,Can be used as an ornamental plant.,
22,Cultivation Details,,
23,Cultivation Details Description,"Prefers a sunny position and a well-drained soil that is neutral to slightly acid[1, 200]. Succeeds in heavy clay soils.",
24,Plant Propagation,Seed - best sown outdoors as soon as it is ripe. Most of the seed germinates in the autumn.,
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
