,Attributes,Description,age
0,Latin Name,Artemisia schmidtiana,
1,Common Name,"Sagebrush, Silvermound, Wormwood, Mugwort",
2,Family,Asteraceae or Compositae,
3,USDA hardiness,5-8,
4,Known Hazards,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].",
5,Habitats,"Bare soil in high mountains and also by the sea, C. and N. Japan[58, 187]. Grassy slopes in high mountains and on seashores[275].",
6,Range,E. Asia - Japan.,
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ArtemisiaSchmidtiana.jpg, https://pfaf.org/../Admin/PlantImages/ArtemisiaSchmidtiana2.jpg",
13,Summary,"Bloom Color: Yellow.Main Bloom Time: Early fall, Late summer, Mid summer. Form: Rounded, Upright or erect.",
14,Physical Characteristics,"Artemisia schmidtiana is a PERENNIAL growing to 0.3 m (1ft) by 0.6 m (2ft in) at a medium rate.  It is in flower from August to November, and the seeds ripen from September to November. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,Stem: this often intergrades into leaves.,
18,Edible Uses,,
19,Edible Uses Description,Stems - cooked[177].,
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"Landscape Uses:Border, Ground cover, Specimen. Requires a well-drained sandy soil in full sun[187]. Established plants are drought tolerant[190]. Plants are longer lived, more hardy and more aromatic when they are grown in a poor dry soil[245]. Plants are hardy to about -20°c[187]. Members of this genus are rarely if ever troubled by browsing deer[233]. Special Features:Attractive foliage, Fragrant foliage, Inconspicuous flowers or blooms.",
26,Plant Propagation,"Seed - surface sow from late winter to early summer in a greenhouse, making sure that the compost does not dry out[200]. When large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for their first winter. Plant out in late spring or early summer. Division in spring or autumn[200]. Basal cuttings in late spring. Harvest the young shoots when about10 - 15cm long, pot up in a lightly shaded position in a greenhouse or cold frame and plant them out when well rooted. Very easy.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
