,Attributes,Description,age
0,Latin Name,Arundinaria gigantea,
1,Common Name,"Canebrake bamboo, Cane Reed, Giant cane",
2,Family,Poaceae or Gramineae,
3,USDA hardiness,5-9,
4,Known Hazards,None known,
5,Habitats,"Forms dense thickets along riverbanks, in swamps and low woods[43, 235]. Found on all types of soil from sea level to 600 metres[195].",
6,Range,"Southeastern N. America - Ohio, Indiana, Illinois and Oklahoma to North Carolina, Florida and Texas.",
7,Edibility Rating,(3 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ArundinariaGigantea.jpg, https://pfaf.org/../Admin/PlantImages/ArundinariaGigantea2.jpg",
13,Summary,"Canebrake bamboo - Young shoots are edible and cooked. They are used as a pot-herb. The seed is also cooked and used as a wheat substitute. The extensive growth of the plant provides streambank stabilization, sediment retention, and bioaccumulation of nutrients and toxins.So long as it can be restrained, the plant makes an excellent, dense hedge or screen. Arundinaria gigantea tecta is a smaller subspecies commonly called dwarf canebrake and grows to about 1.5m. Conditions for dwarf canebrake are similar to the larger version.",
14,Physical Characteristics,"Arundinaria gigantea is an evergreen Bamboo growing to 9 m (29ft 6in).  See above for USDA hardiness. It is hardy to UK zone 6. It is in leaf all year. The species is hermaphrodite (has both male and female organs) and is pollinated by Wind.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,A. macrosperma. Arundo gigantea. Bambusa newmanii.,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Shady Edge;,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.,Shoots: ,Stem: this often intergrades into leaves.",
18,Edible Uses,,
19,Edible Uses Description,"Young shoots - cooked[11, 22, 46, 105, 183]. Used as a pot-herb[236]. Seed - cooked[46, 61, 161]. It can be used as a wheat substitute[2, 105], for which it is not much inferior[213], but it is rather small and difficult to collect in quantity[159]. The plants only flower at irregular intervals of several years.",
20,Medicinal Uses,Cathartic: A strong laxative but less violent than a purgative.,
