,Attributes,Description,age
0,Latin Name,Attalea colenda,
1,Common Name,"Palma real, Chivila",
2,Family,Arecaceae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,"Lowland rain forest or deciduous forest, especially common in disturbed or cleared areas, at elevations up to 900 metres[ 768 ]. It normally grows between 400-500 m altitude in Ecuador. It can grow up to 1300 m altitude.",
6,Range,"S. America - Ecuador, Colombia.",
7,Edibility Rating,(4 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Attalea colenda-1.jpg, https://pfaf.org/../Admin/PlantImages/Attalea colenda-2.jpg",
13,Summary,"Attalea colenda or Palma Real is a large, monoecious, tropical palm of up to 30 m tall found in Colombia, Ecuador, and South America. It has a thick trunk, long and upright leaves, and large, oily, oval fruits. The large seed yields cooking oil. Fibre can be obtained from the leaves.",
14,Physical Characteristics,"Attalea colenda is an evergreen Tree growing to 25 m (82ft) by 20 m (65ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Bees, insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,Ynesa colenda O.F.Cook,
16,Plant Habitats,,
17,Edible Parts,"Fruit: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,"Oil: Oil,Oil: ",
19,Edible Uses Description,"portion: Seeds, oil. An oil extracted from the seed is used for cooking[ 768 ]. Similar to coconut and African oil palm. The infructescences of this species are unusually large and heavy, with some of them weighing more than 100 kilos; an assay of the individual seeds showed 51.74% oil and 4.28% water[ 769 ].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,"Fibre: Used for making cloth, rope, paper etc.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.,Pioneer: Plants, usually trees and shrubs, that can be used to reforest land.",
23,Other Uses Description,Other uses rating: Medium (3/5). Other Uses A long fibre with commercial value can be obtained from the leaf petiole margins[ 769 ].,
24,Cultivation Details,,
25,Cultivation Details Description,"Each tree produces one to four infructescences per year. Based on the oil content, it is estimated that 100 trees per hectare could produce 10 to 27 tonnes of seeds, or between 5 and 13 tonnes of oil per hectare per year[ 769 ]. Production: Seedling grown is quite fast.",
26,Plant Propagation,Seed - The seeds are large and slow and erratic to germinate.,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
