,Attributes,Description,age
0,Latin Name,Barringtonia procera,
1,Common Name,"Pao nuts, Cut nut",
2,Family,Lecythidaceae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,"Secondary rainforests at low elevations[658 ]. Usually associated with human activity, in old gardens, mature coconut plantations, and coastal villages, and in remnants of secondary lowland rainforests[312 ].",
6,Range,"Australasia - eastern New Guinea, Bismarck Island, Solomon Islands, Vanuatu.",
7,Edibility Rating,(4 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Tender,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Barringtonia_procera_Plants.JPEG, https://pfaf.org/../Admin/PlantImages/Barringtonia_procera2_Plants.JPEG",
13,Summary,,
14,Physical Characteristics,"Barringtonia procera is an evergreen Tree growing to 10 m (32ft) by 8 m (26ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Moths, Bats.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil. The plant can tolerate maritime exposure.",
15,Synonyms,Barringtonia guppyana R.Knuth Barringtonia magnifica Lauterb. Barringtonia schuchardtiana K.Schum. Butonica procera Miers,
16,Plant Habitats,,
17,Edible Parts,"Leaves: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,,
19,Edible Uses Description,"Seed[324 , 335 , 658 ]. The seed kernel inside the hard shell inside the fruit is about 30mm by 15 - 20mm wide[658 ]. Young leaves - cooked and eaten as a vegetable[324 ].",
20,Medicinal Uses,"Antiinflammatory: Reduces inflammation of joints, injuries etc.,Antitussive: Prevents or relieves coughing.,Stomachic: Aids and improves the action of the stomach.,Urinary: Treats urinary problems, including urinary tract infection (UTI).",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiinflammatory  Antitussive  Stomachic  UrinaryThe bark is used in the treatment of stomach ailments and gonorrhoea[339 ]. Sap from the bark has been used for treating ciguatera poisoning, coughs, and urinary infections[312 ]. The leaves are used to treat inflammation of the ear and headaches[312 ].",
22,Other Uses,"Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Plant support: Usually bamboos, used as canes in the garden for holding up plants.,Shelterbelt: Wind resistant plants than can be grown to provide shelter in the garden etc.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
