,Attributes,Description
0,Latin Name,Bertholletia excelsa
1,Common Name,Brazil Nut
2,Family,Lecythidaceae
3,USDA hardiness,10-12
4,Known Hazards,Nuts from trees growing on barium-rich soils can accumulate up to 0.29% barium and should be avoided due to danger of barium toxicity[ 324 ].
5,Habitats,"Deep, rich, alluvial soils, on slightly raised ground that is not subject to regular or extensive flooding[ 200 ]."
6,Range,"North and western S. America - Brazil, Venezuela, the Guyanas."
7,Edibility Rating,(5 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Bertholletia excelsa1.jpg, https://pfaf.org/../Admin/PlantImages/Bertholletia excelsa 2.jpg"
13,Summary,"Brazil nut or Berholletia excels is a large, tropical, evergreen tree up to 60 m tall and trunk diameter of 14 m. It is found in South America. Brazil nut has medicinal properties. In particular, its bark is used against liver problems and seed oil is applied to burns. The fruit can be made into a tea which is then used for gastralgia. The seed is eaten raw or cooked. It also produces edible oil that can be used like an olive oil. The oil is also used in making perfume, paint, and soap. The bark is a source or fibre. Empty fruit capsules are used as cups or other receptacles. The wood is used for construction, flooring, carpentry, and cabinet making among others."
14,Physical Characteristics,"Bertholletia excelsa is an evergreen Tree growing to 40 m (131ft) by 25 m (82ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10 and is frost tender. The flowers are pollinated by Bees. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in heavy clay and nutritionally poor soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and  can grow in very acid and very alkaline soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,Barthollesia excelsa Silva Manso Bertholletia nobilis Miers
16,Plant Habitats,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans."
18,Edible Uses,"Oil: Oil,Oil: "
19,Edible Uses Description,"portion: Nut, Oil, Flavouring. Seed - raw or cooked. A mild flavour, the nuts are a common item of food, eaten raw and also roasted, salted or used in ice cream etc[ 301 ]. The nuts are very nutritious, containing roughly 66% fat or oil, 17% protein and 7% carbohydrate[ 63 ]. The ripe fruit is a wooden capsule weighing up to 750g and containing 12 - 24 angular brown seed, each about 5cm long and 2.5cm wide[ 63 , 418 ]. An oil is obtained from the seed[ 301 ]. The fresh-pressed oil is pale yellow, almost odourless, with a pleasant nutty flavour[ 63 ]. It is not unlike almond oil in composition[ 63 ]. It can be used like olive oil[ 63 ]. Nuts have a high level of selenium. They are also high in sulphur containing amino acids."
