,Attributes,Description
0,Latin Name,Capsicum annuum
1,Common Name,"Sweet Pepper, Cayenne Pepper, Chili Pepper, Christmas Pepper, Red Pepper, Ornamental Chili Pepper"
2,Family,Solanaceae
3,USDA hardiness,10-11
4,Known Hazards,"Pungent-fruited peppers may cause painful irritation when used in excess, or after accidental contact with the eyes[238]. Although no reports have been seen for this species, many plants in this family produce toxins in their leaves. The sap of the plant can cause the skin to blister[200]. Avoid in patients taking monoamine oxidase inhibitor antidepressants and antihypertensive drugs [301]."
5,Habitats,Not known in the wild.
6,Range,"Probably native of the Tropics, but the original habitat is obscure."
7,Edibility Rating,(4 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,No
10,Medicinal Rating,(3 of 5)
11,Care (info),"Half Hardy,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CapsicumAnnuum.jpg, https://pfaf.org/../Admin/PlantImages/CapsicumAnnuum2.jpg"
13,Summary,"Bloom Color: White.Main Bloom Time: Early summer, Early fall, Late summer, Mid summer. Form: Upright or erect."
14,Physical Characteristics,"Capsicum annuum is an evergreen Perennial growing to 1 m (3ft 3in) by 1 m (3ft 3in) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 9 and is frost tender. It is in leaf all year, in flower from July to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and  can grow in very acid and very alkaline soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,Capsicum abyssinicum. Capsicum angulosum. Capsicum axi. Capsicum ustulatum
16,Plant Habitats,Cultivated Beds; South Wall. By. West Wall. By.
17,Edible Parts,"Flowers: ,Fruit: ,Leaves: "
18,Edible Uses,"Colouring: edible dyes,Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments."
19,Edible Uses Description,"ntFruit - raw or cooked[2, 33, 105, 132]. Some varieties are very hot (the chilli and cayenne peppers) and are normally used as a pungent flavouring whilst milder varieties (the sweet peppers) have a very pleasant flavour with a slight sweetness and are often eaten raw in salads etc[142, 238]. The dried fruits of chilli and cayenne peppers is ground into a powder and used as a pungent flavouring called paprika[238]. The powder from the dried ground fruit of some cultivars is added to food as a colouring[183]. The fruits range widely in size and shape, from a few centimetres long to more than 30cm[200]. Young leaves are said to be edible[105] but some caution is advised. They are steamed as a potherb or added to soups and stews[183]. The leaves contain about 4 - 6% protein[183]. Seed - dried, ground into a powder and used as a pepper[2]. Flowers - raw or cooked[201]."
