,Attributes,Description
0,Latin Name,Castilla ulei
1,Common Name,Caucho Negro
2,Family,Moraceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,"Clearings and other open spots in primary forests, generally in company with Cecropia species; or in the fertile, sparsely wooded alluvial flats of valley bottoms[684 ]. Rainforests, where it is found at elevations from sea level to 500 metres in Ecuador."
6,Range,"S. America - Brazil, Bolivia, Peru, Ecuador and Colombia."
7,Edibility Rating,(2 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Castilla_ulei1.jpg, https://pfaf.org/../Admin/PlantImages/Castilla_ulei2.jpg"
13,Summary,
14,Physical Characteristics,"Castilla ulei is a deciduous Tree growing to 30 m (98ft) by 30 m (98ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10. The plant is not self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,No synonyms are recorded for this name.
16,Plant Habitats,
17,Edible Parts,Fruit: 
18,Edible Uses,
19,Edible Uses Description,"Fruit[317 ]. The soft pulp is edible when fresh[684 ]. The fruit is 20mm long and 25mm wide when dried, so will be larger when fresh[684 ]."
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
22,Other Uses,
23,Other Uses Description,Agroforestry Uses: Members of this genus have a root system that consists of a rather short tap root and of several lateral roots spreading horizontally and so near the surface of the soil that they can often be followed for 20 to 30 metres[684 ]. This root system makes it difficult to grow other crops under the tree[K ]. Other Uses: A latex is obtained from the trunk[317 ]. The rubber obtained from this tree is the most valuable obtained from any member of this genus[317 ].
24,Cultivation Details,"Industrial Crop: Hydrocarbon: Materials, chemicals and energy include bioplastics, rubber, biomass products gasoline, jet fuel, diesel, butane, propane, biogas. Plants are usually resprouting plants and saps.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits."
25,Cultivation Details Description,"Industrial Crop: Hydrocarbon  Management: Standard  Regional CropA tree of the lowland humid tropics. The tree has long, spreading, superficial roots[684 ]. Individual plants can either produce only male flowers (dioecious) or they can produce both male and female flowers (monoecious)[315 , 684 ]."
26,Plant Propagation,Seed
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
