,Attributes,Description,age
0,Latin Name,Cerastium semidecandrum,
1,Common Name,"Little Mouse-Ear Chickweed, Fivestamen chickweed",
2,Family,Caryophyllaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,"Common in dry open habitats, especially on calcareous or sandy soils[17].",
6,Range,"Europe, including Britain, from Scandanava south and west to N. Africa and W. Asia.",
7,Edibility Rating,(2 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CerastiumSemidecandrum.jpg, https://pfaf.org/../Admin/PlantImages/CerastiumSemidecandrum2.jpg",
13,Summary,,
14,Physical Characteristics,"Cerastium semidecandrum is a ANNUAL growing to 0.2 m (0ft 8in).  It is in flower from April to May. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,Leaves: ,
18,Edible Uses,,
19,Edible Uses Description,"Young plant - cooked[105, 177]. Best used before it flowers[61].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,See the plants native habitat for ideas on its cultivation needs.,
26,Plant Propagation,"Seed - we have no information on this species but suggest sowing the seed in spring in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and plant them out into their permanent positions in the summer.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
