,Attributes,Description,age
0,Latin Name,Ceratonia siliqua,
1,Common Name,"Carob, St. john's bread",
2,Family,Fabaceae or Leguminosae,
3,USDA hardiness,9-11,
4,Known Hazards,None known,
5,Habitats,Rocky places near the sea shore[89].,
6,Range,S. Europe.,
7,Edibility Rating,(3 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Frost Hardy,Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CeratoniaSiliqua.jpg, https://pfaf.org/../Admin/PlantImages/CeratoniaSiliqua2.jpg",
13,Summary,"Bloom Color: Green. Form: Rounded, Vase.",
14,Physical Characteristics,"Ceratonia siliqua is an evergreen Tree growing to 15 m (49ft 3in) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 8 and is frost tender. It is in leaf all year, in flower from August to October. The species is dioecious (individual flowers are either male or female, but only one sex is to be found on any one plant so both male and female plants must be grown if seed is required).  and is pollinated by wasps and flies. It can fix Nitrogen.  Suitable for: light (sandy) and medium (loamy) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought. The plant can tolerates strong winds but not maritime exposure.",
15,Synonyms,,
16,Plant Habitats,Woodland Garden Canopy; Secondary; South Wall. By. West Wall. By.,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.,Seedpod: things such as Okra, French and Runner beans.",
18,Edible Uses,"Chocolate: substitutes for chocolate, that is.,Coffee: the various substitutes that can be used instead of coffee.,Egg: Substitutes for eggs.,Gum: can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods.",
19,Edible Uses Description,"g  GumSeedpods - raw or ground into a powder[1, 7, 74, 89, 177]. The seedpods are filled with a saccharine pulp and can be eaten both green or dried[2]. They are very sweet but fibrous[183], the pulp can be used as a chocolate substitute in cakes, drinks etc[183]. It is rich in sugars and protein[183]. The pods contain about 55% sugars, 10% protein[100] and 6% fat[74]. Seed - rich in protein. A flour is made from them which is 60% protein, it is free from sugar and starch and is suitable for baking[64, 171]. It can be used as a chocolate substitute[148]. An edible gum is extracted from the seed, a substitute for Gum Tragacanth (see Astragalus species)[64]. A stabilizer and thickening agent[142, 183], it is also used as an egg substitute[61, 64, 142]. The roasted seed is a coffee substitute[61, 105, 183].",
20,Medicinal Uses,"Antidiarrhoeal: Provides symptomatic relief for diarrhoea. Also see Astringent.,Antiemetic: Prevents vomiting.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Demulcent: Soothes, lubricates and softens irritated tissues, especially the mucous membranes.,Emollient: Softens the skin, causing warmth and moisture.,Purgative: A drastic laxative causing a cleansing or watery evacuation of the bowels, usually with a griping pain.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antidiarrhoeal  Antiemetic  Astringent  Demulcent  Emollient  PurgativeThe pulp in the seedpods of carob is very nutritious and, due to its high sugar content, sweet-tasting and mildly laxative[254]. However, the pulp in the pods is also astringent and, used in a decoction, will treat diarrhoea and gently help to cleanse and also relieve irritation within the gut[240, 254]. Whilst these appear to be contradictory effects, carob is an example of how the body responds to herbal medicines in different ways, according to how the herb is prepared and according to the specific medical problem[254]. The seedpods are also used in the treatment of coughs[240]. A flour made from the ripe seedpods is demulcent and emollient[7]. It is used in the treatment of diarrhoea[7]. The seed husks are astringent and purgative[240]. The bark is strongly astringent[254]. A decoction is used in the treatment of diarrhoea[254].",
22,Other Uses,"Cosmetic: Used to improve the physical appearence of a person.,Fodder: Food given to the animals (including plants cut and carried to them) rather than forage for themselves.,Gum: Gums have a wide range of uses, especially as stabilizers, emulsifiers, thickening agents, adhesives etc.,Tannin: An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
23,Other Uses Description,"A flour made from the seedpods is used in the cosmetic industry to make face-packs[7].  is obtained from the bark[7].  - hard, lustrous. Highly valued by turners, it is also used for marquetry and walking sticks[7, 61, 89, 100].",
24,Cultivation Details,"Agroforestry Services: Windbreak: Linear plantings of trees and shrubs designed to enhance crop production, protect people and livestock and benefit soil and water conservation.,Fodder: Pod: Fodder plants with pods.,Industrial Crop: Gum: Used as thickeners and gelling agents. Non-destructively harvested gums come from tapped trees and seed.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Minor Global Crop: These crops are already grown or traded around the world, but on a smaller scale than the global perennial staple and industrial crops, The annual value of a minor global crop is under $1 billion US. Examples include shea, carob, Brazil nuts and fibers such as ramie and sisal.,Other Systems: Irreg. Intercrop: Irregular intercropping systems are trees scattered throughout cropland.,Staple Crop: Balanced carb: (0-15 percent protein, 0-15 percent oil, with at least one over 5 percent). The carbohydrates are from either starch or sugar. Annuals include maize, wheat, rice, and potato. Perennials include chestnuts, carob, perennial fruits, nuts, cereals, pseudocereals, woody pods, and acorns.,Staple Crop: Sugar: Perennial sugar crops include sugarcane and compare favorably to annuals.",
