,Attributes,Description
0,Latin Name,Cibotium barometz
1,Common Name,Scythian Lamb
2,Family,Dicksoniaceae
3,USDA hardiness,8-11
4,Known Hazards,None known
5,Habitats,"Hillsides, gullies and forests, where it is shady and damp[147]."
6,Range,E. Asia - Assam to China.
7,Edibility Rating,(1 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(1 of 5)
11,Care (info),"Half Hardy,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/noplantimage1.JPG, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Cibotium barometz is an evergreen Fern.  See above for USDA hardiness. It is hardy to UK zone 9. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,C. assamicum.
16,Plant Habitats,Woodland Garden Dappled Shade; Shady Edge;
17,Edible Uses Description,"There is a report that the plant is edible, but does not say which part of the plant is eaten[177]."
18,Medicinal Uses,"Anodyne: Relieves pain, it is milder than an analgesic.,Antiinflammatory: Reduces inflammation of joints, injuries etc.,Antirheumatic: Treats rheumatism.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Hepatic: Acts on the liver (for better or worse!).,Styptic: An astringent that stops bleeding by contracting the blood vessels."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Anodyne  Antiinflammatory  Antirheumatic  Astringent  Hepatic  StypticThe rhizomes contain about 30% starch[283]. It is antiinflammatory and anodyne and is used in the treatment of rheumatism, lumbago, sciatica, leucorrhoea, dysuria, polyuria in the aged etc[283]. Antirheumatic, hepatic, styptic[147, 176]. The rhizomes are harvested at the end of the growing season, the smaller roots and yellow hairs are removed then the rhizome is chipped into slices and dried for later use[283]. The yellow hairs on the rhizomes contain tannins and are astringent[283]. They are used in poultices on wounds to stop bleeding[283]."
20,Other Uses,
21,Other Uses Description,None known
22,Cultivation Details,
23,Cultivation Details Description,This species is not very hardy in Britain and normally requires greenhouse protection[1]. 200
24,Plant Propagation,
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
