,Attributes,Description
0,Latin Name,Cirsium japonicum
1,Common Name,"No-Azami, Japanese thistle"
2,Family,Asteraceae or Compositae
3,USDA hardiness,5-9
4,Known Hazards,None known
5,Habitats,"Sunny slopes in lowlands and foothills, C. and S. Japan[58, 147]."
6,Range,E. Asia - Japan.
7,Edibility Rating,(2 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CirsiumJaponicum.jpg, https://pfaf.org/../Admin/PlantImages/CirsiumJaponicum2.jpg"
13,Summary,
14,Physical Characteristics,"Cirsium japonicum is a BIENNIAL/PERENNIAL growing to 0.9 m (3ft).  See above for USDA hardiness. It is hardy to UK zone 6.  It is in flower from August to September, and the seeds ripen from September to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, flies, Lepidoptera (Moths & Butterflies), beetles. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Cultivated Beds;
17,Edible Parts,"Leaves: ,Root: includes bulbs, corms, tubers, rhizomes etc."
18,Edible Uses,"Oil: Oil,Oil: "
19,Edible Uses Description,"ves - cooked[61, 105, 177]. Very palatable in the spring, they are used with the young roots[179]."
20,Medicinal Uses,"Antiinflammatory: Reduces inflammation of joints, injuries etc.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Haemostatic: Controls internal bleeding.,Styptic: An astringent that stops bleeding by contracting the blood vessels."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiinflammatory  Diuretic  Haemostatic  StypticThe roots are anti-inflammatory, diuretic and haemostatic[61, 147, 176, 178]. A decoction of the dried roots is used in the treatment of boils and carbuncles, acute appendicitis, uterine bleeding, haematuria, nose bleeds, haematemesis and traumatic bleeding[147]. The leaf is haemostatic and diuretic[218]. The stem is haemostatic[218]."
22,Other Uses,"Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses."
23,Other Uses Description,The seed of all species of thistles yields a good oil by expression[4]. No details of potential yields etc are given[K].
24,Cultivation Details,
25,Cultivation Details Description,"An easily grown plant, succeeding in any ordinary garden soil in a sunny position[200]. Cultivated for cut flowers in Japan[58]. There are some named forms selected for their ornamental value[200]. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is fleshy. Thick or swollen - fibrous or tap root [2-1]."
26,Plant Propagation,Seed - sow early spring or autumn in situ. Germination usually takes place within 2 - 8 weeks at 20°c[164]. Division in spring or autumn.
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
