,Attributes,Description
0,Latin Name,Claytonia tuberosa
1,Common Name,Tuberous Spring Beauty
2,Family,Portulacaceae
3,USDA hardiness,4-8
4,Known Hazards,None known
5,Habitats,Sphagnum tundra in the Arctic[74]. Wet to moist stony tundra slopes from sea level to 1200 metres in Alaska[270].
6,Range,"Northwestern N. America - Alaska, to E. Asia - Siberia."
7,Edibility Rating,(3 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/noplantimage1.JPG, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Claytonia tuberosa is a PERENNIAL growing to 0.2 m (0ft 8in).  See above for USDA hardiness. It is hardy to UK zone 4.  It is in flower from April to July, and the seeds ripen in May. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Cultivated Beds;
17,Edible Parts,"Flowers: ,Leaves: ,Root: includes bulbs, corms, tubers, rhizomes etc."
18,Edible Uses,
19,Edible Uses Description,"Root - raw or cooked[2, 74, 85, 105, 172]. It can be added to soups and stews[257]. It is rather small[172]. Leaves - raw or cooked[172]. A source of vitamins A and C, the leaves can be used as greens[257]. Flowers - raw[172]."
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
22,Other Uses,
23,Other Uses Description,None known
24,Cultivation Details,
25,Cultivation Details Description,"Prefers a damp peaty soil and a position in full sun[1, 164]. Requires a lime-free soil[164]."
26,Plant Propagation,"Seed - surface sow on a peat based compost in spring in a cold frame. Germination usually takes place within 2 - 4 weeks at 10°c[164]. When large enough to handle, prick the seedlings out into individual pots and grow them on in the cold frame for at least their first winter. Plant them out in late spring or early summer after the last expected frosts. Division of offsets in spring or autumn."
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
