,Attributes,Description,age
0,Latin Name,Cochlearia anglica,
1,Common Name,Long Leaved Scurvy Grass,
2,Family,Brassicaceae or Cruciferae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,Muddy shores and estuaries[17].,
6,Range,"Atlantic and North Sea coasts of Europe, including Britain.",
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Moist Soil,Wet Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CochleariaAnglica.gif, https://pfaf.org/../Admin/PlantImages/CochleariaAnglica2.gif",
13,Summary,,
14,Physical Characteristics,"Cochlearia anglica is a BIENNIAL/PERENNIAL growing to 0.3 m (1ft).  It is in flower from April to July, and the seeds ripen from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, flies, beetles. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline soils. It cannot grow in the shade. It prefers  moist or  wet soil. The plant can tolerate maritime exposure.",
15,Synonyms,,
16,Plant Habitats,Bog Garden; Cultivated Beds;,
17,Edible Parts,Leaves: ,
18,Edible Uses,"Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.",
19,Edible Uses Description,"Young leaves and flower heads - raw. Bitter[K]. Used as a flavouring in salads[183]. The leaves are very rich in vitamin C, though very few people will actually enjoy the pungent flavour[K]. Used as a spice[105, 177] (the part used is not specified).",
20,Medicinal Uses,Vitamin C: Plants good for their vitamin C content,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Vitamin CNone known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,Prefers a cool shady position. Grows well on acid or calcareous soils but it avoids shady positions in the wild. Prefers a sandy or gritty well-drained soil[200]. Hybridizes with C. officinalis[17].,
26,Plant Propagation,Seed - sow spring or autumn in situ. Germination usually takes place within 2 - 3 weeks at 15°c[164].,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
