,Attributes,Description,age
0,Latin Name,Comandra umbellata,
1,Common Name,"Bastard Toad Flax, California bastard toadflax, Pale bastard toadflax",
2,Family,Santalaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,"Dry to moist sandy well-drained soils, especially those that are acid, from sea level to the sub-alpine zone[43, 60].",
6,Range,Eastern N. America - Michigan to Alabama.,
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ComandraUmbellata.gif, https://pfaf.org/../Admin/PlantImages/ComandraUmbellata2.gif",
13,Summary,,
14,Physical Characteristics,"Comandra umbellata is a PERENNIAL growing to 0.3 m (1ft).  It is in flower from April to June. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid soils and  can grow in very acid soils. It cannot grow in the shade. It prefers dry or  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,Fruit: ,
18,Edible Uses,Nectar: produced in such abundance by some flowers that it can be harvested fairly easily.,
19,Edible Uses Description,"- raw[60, 105]. A sweet flavour[61]. The flowers are sucked by children for their sweet nectar[257].",
20,Medicinal Uses,"Pectoral: Relieves respiratory diseases, a remedy for chest diseases.,Salve: Soothes and heals damaged skin.",
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Pectoral  SalveAn infusion of the leaves has been used to treat lung pains and laboured breathing caused by a cold or other illness[257]. The juice of the plant has been applied externally to treat cuts and sores[257].,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"We have very little information on this species and do not know if it will be hardy in Britain, though judging by its native range it should succeed outdoors in many parts of this country. The following notes are based on the general needs of the genus. Requires a well-drained moisture retentive lime-free soil[200]. A parasitic plant obtaining at least some of its nutrients from the roots of other plants[200, 235]. It is said to parasitize over 200 different species of plants in the wild[274].",
26,Plant Propagation,Seed - stratify for 3 months at 5°c and then sow in the greenhouse in a pot with a suitable host. Plant out when it is well established close to a mature host plant[200].,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
