,Attributes,Description,age
0,Latin Name,Convolvulus tricolor,
1,Common Name,"Dwarf Morning Glory, Bush Morning Glory",
2,Family,Convolvulaceae,
3,USDA hardiness,8-11,
4,Known Hazards,None known,
5,Habitats,Dry open habitats[50].,
6,Range,"S. Europe - Portugal, Spain and Sicily.",
7,Edibility Rating,(0 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Frost Hardy,Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ConvolvulusTricolor.gif, https://pfaf.org/../Admin/PlantImages/ConvolvulusTricolor2.gif",
13,Summary,"Bloom Color: Blue.Main Bloom Time: Early fall, Late summer, Mid summer. Form: Irregular or sprawling, Variable height.",
14,Physical Characteristics,"Convolvulus tricolor is a ANNUAL/PERENNIAL growing to 0.3 m (1ft) by 0.2 m (0ft 8in) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 8.  It is in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, flies. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Uses Description,None known,
18,Medicinal Uses,,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
20,Other Uses,,
21,Other Uses Description,None known,
22,Cultivation Details,,
23,Cultivation Details Description,"Landscape Uses:Container. Requires a sheltered position in a well-drained low to medium fertility soil and a very sunny position[200]. This plant is generally hardy to zone 8 (tolerating temperatures down to about -5°) but some forms are much hardier and can tolerate temperatures down to about -20°c[200]. An annual to short-lived perennial species, it is usually grown as an annual in Britain[200]. This plant is a very good attractant for hoverflies[200]. Hoverflies, and especially their larvae, are quite good predators on aphids. Special Features:Invasive.",
24,Plant Propagation,Seed - sow February/March in situ and again in May to ensure a succession of flowers[164].,
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
