,Attributes,Description
0,Latin Name,Coronilla scorpioides
1,Common Name,"Annual Scorpion Vetch, Yellow crownvetch"
2,Family,Fabaceae or Leguminosae
3,USDA hardiness,6-9
4,Known Hazards,None known
5,Habitats,A common weed of cultivated ground.
6,Range,S. Europe.
7,Edibility Rating,(0 of 5)
8,Other Uses,(1 of 5)
9,Weed Potential,No
10,Medicinal Rating,(1 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CoronillaScorpioides.gif, https://pfaf.org/../Admin/PlantImages/CoronillaScorpioides2.gif"
13,Summary,
14,Physical Characteristics,"Coronilla scorpioides is a ANNUAL growing to 0.4 m (1ft 4in).  See above for USDA hardiness. It is hardy to UK zone 7. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Cultivated Beds;
17,Edible Uses Description,None known
18,Medicinal Uses,"Cardiac: Used in the treatment of heart problems.,Cathartic: A strong laxative but less violent than a purgative.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Laxative: Stimulates bowel movements in a fairly gentle manner."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Cardiac  Cathartic  Diuretic  LaxativeThe twigs and leaves have a similar action to the common broom, Cytisus scoparia[4]. They are collected as the plant comes into flower and can be stored for later use. They are diuretic, cardiac, cathartic and laxative[4]."
20,Other Uses,Dye: Plants that provide dyes.
21,Other Uses Description,A blue dye like indigo can be obtained by fermentation of the leaves[4].
22,Cultivation Details,
23,Cultivation Details Description,Requires a light well-drained soil in full sun[200].
24,Plant Propagation,"Seed - sow early spring in a greenhouse. When they are large enough to handle, prick the seedlings out into individual pots and plant them out in late spring."
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
