,Attributes,Description
0,Latin Name,Coutarea hexandra
1,Common Name,Coutarea
2,Family,Rubiaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,"Moist soils in alluvial river valleys and near rivers, in both dense, primary forests and the more open, secondary formations, generally preferring more open, sunny positions[ 420 ]. Thickets in Panama[ 469 ]."
6,Range,"S. America - Argentina, Paraguay, Brazil, Bolivia, Peru, Ecuador, Colombia, Venezuela, the Guyanas; C. America - Panama to Mexico; Caribbean- Trinidad"
7,Edibility Rating,(0 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,No
10,Medicinal Rating,(4 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Coutarea hexandra 1.jpg, https://pfaf.org/../Admin/PlantImages/Coutarea hexandra_2.jpg"
13,Summary,"Coutera hexandra is a semideciduous plant that grows up to 6 m tall with a short, usually crooked bole. It is often planted as an ornamental plant. It is commonly found in South America and grows well under sunny condition and moist soil. The bark is used in the treatment of malaria and fever. The wood is moderately heavy and hard but not very durable. It is used for tool handles, fuel and charcoal. Argentina, Paraguay, Brazil, Bolivia, Peru, Ecuador, Colombia, Venezuela, the Guyanas; C. America - Panama to Mexico; Caribbean- Trinidad"
14,Physical Characteristics,"Coutarea hexandra is a deciduous Tree growing to 4.5 m (14ft) by 4.5 m (14ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,Bignonia triflora Pav. ex DC. Cinchona souzana (Mart.) Brign. Coutarea alba Griseb. Coutarea campani
16,Plant Habitats,
17,Edible Parts,
18,Edible Uses,"Industrial Crop: Hydrocarbon: Materials, chemicals and energy include bioplastics, rubber, biomass products gasoline, jet fuel, diesel, butane, propane, biogas. Plants are usually resprouting plants and saps.,Management: Hay: Cut to the ground and harvested annually. Non-destructive management systems maintaining the soil organic carbon.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits."
19,Edible Uses Description,
20,Medicinal Uses,"Antiinflammatory: Reduces inflammation of joints, injuries etc.,Bitter: Increases the appetite and stimulates digestion by acting on the mucous membranes of the mouth. Also increases the flow of bile, stimulates repair of the gut wall lining and regulates the secretion of insulin and glucogen.,Febrifuge: Reduces fevers.,Hypoglycaemic: Reduces the levels of sugar in the blood.,Malaria: Treats malaria - an acute febrile illness caused by Plasmodium parasites spread to people through the bites of mosquitos.,Stomachic: Aids and improves the action of the stomach.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.,Vermifuge: Expels and kills internal parasites."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiinflammatory  Bitter  Febrifuge  Hypoglycaemic  Malaria  Stomachic  Tonic  VermifugeThe stem bark is bitter, febrifuge, stomachic and tonic[ 348 , 739 ]. It can be used as a substitute for quinine (Cinchona spp.) when treating malaria, and is also used for treating swamp fever[ 348 , 739 ]. The root bark is mixed in a decoction with stem bark and then used as an antidiabetic and vermifuge[ 348 ]. The plant is a rich source of neoflavonoids and their glycosides[ 739 ]. One of the compounds in the plant has been shown to exert a relaxing effect upon the trachea[ 420 ]. The plant extract has been shown to be antiinflammatory[ 739 ]."
22,Other Uses,"Charcoal: Used for fuel, drawing, deodorant, filter, fertilizer etc.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Wood: A list of the trees and shrubs that are noted for having useful wood."
23,Other Uses Description,"Other Uses The wood is of medium and uniform texture, moderately heavy, hard, flexible, with moderate mechanical properties and not very durable. The wood is usually too small to be of much use apart from items such as tool handles[ 420 ]. The wood is used for fuel and to make charcoal[ 420 ]."
24,Cultivation Details,
25,Cultivation Details Description,Grows best in a sunny position[ 420 ]. Prefers a moist soil[ 420 ]. Semi-deciduous
26,Plant Propagation,Seed
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
