,Attributes,Description,age
0,Latin Name,Crambe abyssinica,
1,Common Name,"Abyssinian Kale, Crambe",
2,Family,Brassicaceae or Cruciferae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,"Grassland and waste ground, and as a weed in agricultural fields, at elevations from 1,200 - 2,600 metres[ 299 ].",
6,Range,"Northeastern tropical Africa - Ethiopia, Uganda, Kenya, Rwanda, northeastern Zaire, Tanzania.",
7,Edibility Rating,(1 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CrambeAbyssinica.gif, https://pfaf.org/../Admin/PlantImages/CrambeAbyssinica2.gif",
13,Summary,"Crambe hispanica abyssinica (Crambe abyssinica) or Abyssinian Kale is an erect plant that grows about 2 meters in height. It is much-branched, mainly in the upper half of the plant. It is commonly found in north eastern tropical Africa. The fruits are used in the treatment of snakebites. The leaves are edible. The seed yields oil which is used for lighting, making plastics and nylon. Seed residues are made into crambe meal is used as plywood and rubber adhesive, as a source of protein isolates, and as an additive to waxes. It can also be used as an insecticide. Abyssinian Kale are also used in crop rotations to control weeds, pest, and diseases.",
14,Physical Characteristics,"Crambe abyssinica is a ANNUAL growing to 1 m (3ft 3in).  See above for USDA hardiness. It is hardy to UK zone 10. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,Crambe abyssinica Hochst. ex R.E.Fr.,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,,
18,Edible Uses,"Oil: Oil,Oil: ",
19,Edible Uses Description,ves[ 299 ].,
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.The fruits are used in traditional medicine to treat snake bites[ 299 ].,
22,Other Uses,"Biomass: Provides a large quantity of plant material that can be converted into fuel etc.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.",
