,Attributes,Description
0,Latin Name,Cuscuta epithymum
1,Common Name,Lesser Dodder
2,Family,Convolvulaceae
3,USDA hardiness,Coming soon
4,Known Hazards,None known
5,Habitats,Parasitic on heather and gorse[17].
6,Range,"Europe, including Britain, from Norway to Spain and east to the Caucasus and central Asia."
7,Edibility Rating,(0 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CuscutaEpythymum.gif, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Cuscuta epithymum is a ANNUAL growing to 1 m (3ft 3in).  It is in flower from June to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid and neutral soils and  can grow in very acid soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,
17,Edible Uses Description,None known
18,Medicinal Uses,"Urinary: Treats urinary problems, including urinary tract infection (UTI)."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.UrinaryLesser dodder is considered to be a valuable though little used herbal remedy that supports the liver, being used for problems affecting the liver and gallbladder[254]. The whole plant is antibilious, appetizer, carminative, cholagogue, mildly diuretic, hepatic, laxative and antiscorbutic[4, 218]. A decoction of the stems is used in the treatment of urinary complaints, kidney, spleen and liver disorders, jaundice, sciatica and scorbutic complaints[4]. It also has a reputation as an anticancer agent and as a specific for gout[218]. The plant should not be used by anyone suffering from haemorrhoids[7]. A homeopathic remedy is made from the plant[7]."
20,Other Uses,
21,Other Uses Description,None known
22,Cultivation Details,
23,Cultivation Details Description,"This is a parasitic species that is devoid of leaves, roots or chlorophyll and so is totally dependant upon its host[238]. A climbing plant, it must be grown close to a host plant around which it will twine itself and which it will penetrate with suckers in order to obtain nutriment[238, 245]. The flowers emit a remarkably sweet perfume that is especially pronounced towards evening[245]."
24,Plant Propagation,"Seed - best sown as soon as it is ripe in the autumn, by lodging it among the stems of a host plant[238]."
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
