,Attributes,Description,age
0,Latin Name,Cyperus aristatus,
1,Common Name,Bearded nutsedge,
2,Family,Cyperaceae,
3,USDA hardiness,7-10,
4,Known Hazards,None known,
5,Habitats,"Wet places in valleys and lowland all over N. America[60]. A cosmopolitan plant, it is not found at high latitudes[60].",
6,Range,N. America to S. America. Naturalized in N. Italy[50].,
7,Edibility Rating,(2 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Frost Hardy,Moist Soil,Wet Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CyperusAristatus.gif, https://pfaf.org/../Admin/PlantImages/CyperusAristatus2.gif",
13,Summary,This name is a synonym of Cyperus squarrosus var. squarrosus.,
14,Physical Characteristics,"Cyperus aristatus is a PERENNIAL growing to 1.5 m (5ft).  See above for USDA hardiness. It is hardy to UK zone 8. The seeds ripen from July to August. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy) and medium (loamy) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist or  wet soil.",
15,Synonyms,C. inflexus. Muhl. C. squarrosus. L.,
16,Plant Habitats,Bog Garden;,
17,Edible Parts,"Root: includes bulbs, corms, tubers, rhizomes etc.",
18,Edible Uses,,
19,Edible Uses Description,"Tuber - raw or cooked[46, 161, 177]. A starchy flavour[61].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,"Weaving: Items such as grass and palm leaves that are woven together for making mats, baskets etc. See also Basket making and Fibre.",
23,Other Uses Description,"The leaves are used for weaving hats, matting etc[178].",
24,Cultivation Details,,
25,Cultivation Details Description,"Prefers a moist sandy loam[95, 117].The dried plant is fragrant[235]. The plant has a strong aroma of Aloe tincture[328].",
26,Plant Propagation,"Seed - surface sow in the spring and keep the compost moist[164]. The seed usually germinates in 2 - 6 weeks at 18°c[164]. Prick out the seedlings into individual pots as soon as they are large enough to handle. Grow on for their first winter in a greenhouse and plant them out in late spring after the last expected frosts. Division in spring or autumn. This is more a matter of harvesting the tubers and replanting them. If this is done in the autumn, then it is best to store the tubers in a cool frost-free place overwinter and plant them out in the spring.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
