,Attributes,Description,age
0,Latin Name,Cyrilla racemiflora,
1,Common Name,"Leatherwood, Swamp titi, Black Titi, Swamp, Myrtle, Titi Swamp, Leatherwood",
2,Family,Cyrillaceae,
3,USDA hardiness,5-10,
4,Known Hazards,None known,
5,Habitats,"Rich shaded river bottoms, the borders of sandy swamps and shallow ponds of the coastal pine-belt[82]. Also found on high, sandy, exposed ridges rising above streams[82].",
6,Range,Southern North America - Virginia to Florida and Texas.,
7,Edibility Rating,(0 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/CyrillaRacemiflora.gif, https://pfaf.org/../Admin/PlantImages/CyrillaRacemiflora2.gif",
13,Summary,"Bloom Color: White.Main Bloom Time: Early summer, Late summer, Mid summer. Form: Irregular or sprawling, Oval.",
14,Physical Characteristics,"Cyrilla racemiflora is a deciduous Shrub growing to 1.2 m (4ft) by 2 m (6ft 7in) at a slow rate. See above for USDA hardiness. It is hardy to UK zone 5. It is in leaf from April to October, in flower from August to October, and the seeds ripen from September to November. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees.  Suitable for: light (sandy) and medium (loamy) soils. Suitable pH: mildly acid and neutral soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,C. parviflora. Raf.,
16,Plant Habitats,Woodland Garden Sunny Edge;,
17,Edible Uses Description,None known,
18,Medicinal Uses,"Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Styptic: An astringent that stops bleeding by contracting the blood vessels.",
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Astringent  StypticThe spongy bark at the base of the trunk is pliable, absorbent and astringent. It has been recommended as a styptic[82].",
20,Other Uses,Wood: A list of the trees and shrubs that are noted for having useful wood.,
21,Other Uses Description,"- heavy, hard, close-grained, not strong[82].",
22,Cultivation Details,,
23,Cultivation Details Description,"Landscape Uses:Hedge, Standard, Woodland garden. Requires a sunny position and a humus-rich soil[200]. Thrives in a mixture of peat and loam[11]. Prefers a circum-neutral or slightly acid, moisture-retentive soil[200]. This species has a wide distribution in the wild, extending southwards from South-eastern North America to Brazil. An evergreen small tree in the warmer parts of its range, only those forms from the most northerly part of its range can be grown outdoors in Britain. These northerly forms are deciduous, though may remain evergreen in mild winters[11, 200]. They usually take the form of a small shrub, but can sometimes become a small tree. They succeed outdoors in the south of Britain, though can be damaged or killed in severe winters[11]. The flowers are produced at the base of the current years growth[11, 200]. Special Features:Attractive foliage, North American native, Naturalizing, Wetlands plant, Fragrant flowers, Attractive flowers or blooms",
24,Plant Propagation,"Seed - best sown as soon as it is ripe in a greenhouse[200]. As soon as they are large enough to handle, prick out the seedlings into individual pots. Grow them on in the greenhouse for at least their first winter, planting them out in early summer when there is no danger of frost. Give them some protection from the cold for their first winter outdoors. Cuttings of softwood, spring in a frame[200]. Cuttings of half-ripe wood, July/August in a frame[200]. Root cuttings in the spring[200].",
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
