,Attributes,Description
0,Latin Name,Dalbergia melanoxylon
1,Common Name,"African Blackwood, Grenadilla, Mpingo"
2,Family,Fabaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,"Grows under a wide range of conditions including semi-arid, subhumid and tropical lowland areas[ 303 ]. It is often found on dry, rocky sites but is most frequent in the mixed deciduous forests and savannahs of the coastal region[ 303 ]."
6,Range,"Africa - drier areas from Senegal to Ethiopia, south to S. Africa."
7,Edibility Rating,(0 of 5)
8,Other Uses,(5 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Tender,Well drained soil,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Dalbergia_melanoxylon_small.jpg, https://pfaf.org/../Admin/PlantImages/Dalbergia_melanoxylon_small2.jpg"
13,Summary,"Dalbergia melanoxylon or commonly known as African Blackwood, Grenadilla, or Mpingo is a flowering plant native to Africa. It is an important timber species used in making musical instruments and furniture. It is a small tree that grows usually 4 - 15 m in height with grey bark, spiny shoots, pinnately compound leaves that are arranged alternately, and white flowers that form into dense clusters. The fruit is a pod with one or two seeds per pod. D. melanoxylon is relatively slow growing. It is used medicinally to prevent miscarriage and to treat abdominal pain, diarrhoea, gonorrhoea, syphilis, colds, headaches, bronchitis, wounds, joint pain, and inflammation."
14,Physical Characteristics,"Dalbergia melanoxylon is a deciduous Tree growing to 6 m (19ft) by 6 m (19ft) at a slow rate. See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Bees. The plant is not self-fertile. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil."
15,Synonyms,Amerimnon melanoxylon (Guill. & Perr.) Kuntze
16,Plant Habitats,
17,Edible Uses Description,None known
18,Medicinal Uses,"Anthelmintic: Expels parasites from the gut.,Antibacterial: Kills bacteria.,Antidiarrhoeal: Provides symptomatic relief for diarrhoea. Also see Astringent.,Antifungal: An agent that inhibits or destroys fungi. Used in the treatment of various fungal problems such as candida.,Antiinflammatory: Reduces inflammation of joints, injuries etc.,Aphrodisiac: Increases the sexual appetite."
