,Attributes,Description,age
0,Latin Name,Descurainia sophia,
1,Common Name,"Flixweed, Herb sophia",
2,Family,Brassicaceae or Cruciferae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,Waste ground and roadsides[17].,
6,Range,Europe to Asia. Possibly native to Britain[17].,
7,Edibility Rating,(2 of 5),
8,Other Uses,(1 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/DescurainiaSophia.gif, https://pfaf.org/../Admin/PlantImages/DescurainiaSophia2.gif",
13,Summary,,
14,Physical Characteristics,"Descurainia sophia is a ANNUAL/BIENNIAL growing to 0.9 m (3ft).  It is in flower from June to August, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs). The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,Sisymbrium sophia.,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,"Leaves: ,Seed: includes nuts, cereals, peas and beans.,Shoots: ",
18,Edible Uses,"Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.",
19,Edible Uses Description,"Young leaves and shoots - cooked[105, 272]. A bitter flavour[85]. Used as a potherb[183, 257]. Seed - raw or cooked[46]. A pungent taste, it is used as a mustard substitute[61, 74, 105, 183]. The seed can be ground into a powder, mixed with cornmeal and used to make bread, or as a thickening for soups etc[61, 85, 183]. It can also be sprouted and added to salads etc[183]. A nourishing and cooling beverage can be made by mixing the ground up seeds with water to make a thin batter[257]. The seed contains 25.5 - 29.9% protein, 26.9 - 39.7% fat and 3.6 - 3.9% ash on a zero moisture basis[218].",
20,Medicinal Uses,"Antiasthmatic: Treats asthma.,Antiscorbutic: A plant rich in vitamin C that is used to counteract scurvy.,Antitussive: Prevents or relieves coughing.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Cardiotonic: A tonic for the heart.,Demulcent: Soothes, lubricates and softens irritated tissues, especially the mucous membranes.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Dysentery: Used in treating dysentery - an infection of the intestines that causes diarrhoea containing blood or mucus.,Febrifuge: Reduces fevers.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Poultice: A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc.,Vermifuge: Expels and kills internal parasites.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiasthmatic  Antiscorbutic  Antitussive  Astringent  Cardiotonic  Demulcent  Diuretic  Dysentery  Febrifuge  Laxative  Poultice  VermifugeA poultice of the plant has been used to ease the pain of toothache[257]. The juice of the plant has been used in the treatment of chronic coughs, hoarseness and ulcerated sore throats[4]. A strong decoction of the plant has proved excellent in the treatment of asthma[4]. The flowers and the leaves are antiscorbutic and astringent[218, 240]. The seed is considered to be cardiotonic, demulcent, diuretic, expectorant, febrifuge, laxative, restorative and tonic[218, 240]. It is used in the treatment of asthma, fevers, bronchitis, oedema and dysentery[176, 240]. It is also used in the treatment of worms and calculus complaints[240]. It is decocted with other herbs for treating various ailments[218]. The seeds have formed a special remedy for sciatica[4]. A poultice of the ground up seeds has been used on burns and sores[257].",
22,Other Uses,"Preservative: For food, or for treating wood, ropes etc.",
23,Other Uses Description,"A semi-drying oil is obtained from the seed[240]. Yields are not given[K]. The leaves have been stored with corn to prevent it from going bad[257]. D. sophia is a tertiary genetic relative of rape (Brassica napus) (Warwick et al. 2009). Given its moderate palatability to livestock (Pfister et al., 1990), this species is likely to have limited economic value for animal husbandry [1d].",
24,Cultivation Details,,
25,Cultivation Details Description,"We have very little information on the needs of this species but, judging by its habitat it should succeed in most soils in a fairly sunny position.",
26,Plant Propagation,Seed - sow spring in situ.,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
