,Attributes,Description,age
0,Latin Name,Dudleya pulverulenta,
1,Common Name,"Chalk Lettuce, Chalk dudleya",
2,Family,Crassulaceae,
3,USDA hardiness,7-10,
4,Known Hazards,None known,
5,Habitats,Found in coastal sage scrub and chaparral plant communites from sea level to elevations of 1500 metres[276].,
6,Range,South-western N. America - California to Arizona.,
7,Edibility Rating,(2 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Frost Hardy,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/DudleyaPulverulenta.gif, https://pfaf.org/../Admin/PlantImages/DudleyaPulverulenta2.gif",
13,Summary,,
14,Physical Characteristics,"Dudleya pulverulenta is a PERENNIAL.  See above for USDA hardiness. It is hardy to UK zone 8. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,Cotyledon pulverulenta. (Nutt.)Brewer.&Wats. Echeveria pulverulenta,
16,Plant Habitats,Cultivated Beds;,
17,Edible Uses Description,"Leaves - raw[46, 61, 161].",
18,Medicinal Uses,,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
20,Other Uses,,
21,Other Uses Description,None known,
22,Cultivation Details,,
23,Cultivation Details Description,"257204 This species is not very hardy in Britain and requires protection from frosts[200]. This contradicts slightly with the plants hardiness rating in the same book of 8, which suggests it should tolerate temperatures down to about -5°c[200, K].",
24,Plant Propagation,Seed -,
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
