,Attributes,Description,age
0,Latin Name,Eleutherococcus innovans,
1,Common Name,Taka-No-Tsume,
2,Family,Araliaceae,
3,USDA hardiness,6-9,
4,Known Hazards,None known,
5,Habitats,"Common in hills and mountains all over Japan[58, 275].",
6,Range,E. Asia - Japan.,
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/noplantimage1.JPG, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG",
13,Summary,,
14,Physical Characteristics,"Eleutherococcus innovans is a deciduous Tree growing to 6 m (19ft 8in).  See above for USDA hardiness. It is hardy to UK zone 7.  It is in flower in June. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil. It can tolerate atmospheric pollution.",
15,Synonyms,Acanthopanax innovans. Euodiopanax innovans. (Sieb.&Zucc.)Nakai. Panax innovans.,
16,Plant Habitats,Woodland Garden Secondary;,
17,Edible Parts,Leaves: ,
18,Edible Uses,,
19,Edible Uses Description,"Young leaves - cooked. A famine food, it is only used in times of scarcity[177].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,Prefers a humus-rich well-drained soil in full sun[200]. Tolerates poor soils and atmospheric pollution[200]. Requires shelter from cold north and east winds[200]. Plants are hardy to between -10 and -15°c[200].,
26,Plant Propagation,"Seed - best sown as soon as it is ripe in the autumn in a cold frame or greenhouse[200]. Sow stored seed in late winter in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of half-ripe wood, July/August in a frame[200]. Root cuttings in late winter in a greenhouse[200]. Division of suckers in the dormant season[200].",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
