,Attributes,Description,age
0,Latin Name,Enterolobium cyclocarpum,
1,Common Name,Devil's Ear. Earpod tree,
2,Family,Fabaceae,
3,USDA hardiness,10-12,
4,Known Hazards,The dust from sawmilling can cause allergies[325 ]. The sawdust has been used as a fish poison[420 ]. It is also said to be able to kill mammals[420 ].,
5,Habitats,"A climax, dominant species in subtropical, dry forest zones, restricted to disturbed areas in wetter forest types[303 ]. Dry lowland forests and savannahs[307 ]. Dry hillsides and by streams, usually below elevations of 300 metres in Guatemala[331 ]. A tropical plant. It is native to tropical America. It grows in dry, lowland forest and savannah. It can tolerate drought. It has some salt tolerance. In Costa Rica it grows from sea level to 1,300 m altitude. It can grow in arid places.",
6,Range,"S. America - northwest Brazil, Venezuela and Colombia, north through Central America to Mexico.",
7,Edibility Rating,(2 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Tender,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Enterolobium_cyclocarpum1.JPEG, https://pfaf.org/../Admin/PlantImages/Enterolobium_cyclocarpum2.JPEG",
13,Summary,,
14,Physical Characteristics,"Enterolobium cyclocarpum is a deciduous Tree growing to 30 m (98ft) by 30 m (98ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline soils. It cannot grow in the shade. It prefers  moist soil and can tolerate drought.",
15,Synonyms,Albizia longipes Britton & Killip Inga cyclocarpa (Jacq.) Willd. Mimosa cyclocarpa Jacq. Mimosa cyclocarpa Jacq.; Albizia longipes Britton & Killip; Feuilleea cyclocarpa (Jacq.) Kuntze; Inga cyclocarpa (Jacq.) Willd.; Mimosa parota Sesse & Mocino; Pithecellobium cyclocarpum (Jacq.) Martius; Prosopis dubia Kunth.,
16,Plant Habitats,,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.,Seedpod: things such as Okra, French and Runner beans.",
18,Edible Uses,"Coffee: the various substitutes that can be used instead of coffee.,Gum: can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods.",
