,Attributes,Description
0,Latin Name,Erodium cicutarium bipinnatum
1,Common Name,
2,Family,Geraniaceae
3,USDA hardiness,Coming soon
4,Known Hazards,None known
5,Habitats,Maritime sands[50].
6,Range,W. Europe to N. Africa.
7,Edibility Rating,(2 of 5)
8,Other Uses,(1 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/noplantimage1.JPG, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Erodium cicutarium bipinnatum is a ANNUAL/BIENNIAL.  It is in flower from June to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, beetles, Lepidoptera (Moths & Butterflies). The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers  moist soil. The plant can tolerate maritime exposure."
15,Synonyms,E. bipinnatum. Willd.
16,Plant Habitats,Cultivated Beds;
17,Edible Parts,"Leaves: ,Root: includes bulbs, corms, tubers, rhizomes etc."
18,Edible Uses,
19,Edible Uses Description,"Root - tuberous[177]. The following report is for E. cicutarium, but is also likely to be true for this sub-species. Young leaves - raw or cooked as a potherb[2, 62, 84, 85, 183]. Tasty and nutritious[207]. The leaves are added to salads, sandwiches, soups etc[9], they can be used in recipes that call for leaves of beet, plantain, sow thistle or amaranth[183]."
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
22,Other Uses,"Dye: Plants that provide dyes.,Weather forecasting: A few plants that are supposed to help us forecast the weather."
23,Other Uses Description,"The following reports are for E. cicutarium, but are also likely to be true for this sub-species. A green dye is obtained from the whole plant. It does not require a mordant[168]. The remnants of the styles are very hygroscopic, they can be used in hygrometers and as weather indicators[46, 61]."
24,Cultivation Details,
25,Cultivation Details Description,"We have very little information on this species and do not know if it will be hardy in Britain, though judging by its native range it should succeed outdoors in most parts of the country. Plants are likely to resist maritime exposure. The following notes are based on the general needs of the genus. Prefers a sunny well-drained position and a limy soil or at least one that is not acid[1]."
26,Plant Propagation,Seed - sow in situ as soon as the seed is ripe in the late summer. The seed can also be sown in situ in late spring[1]. Germination usually takes place within 3 weeks[200].
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
