,Attributes,Description,age
0,Latin Name,Halimione portulacoides,
1,Common Name,Sea Purslane,
2,Family,Chenopodiaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,"Salt marshes, especially fringing channels and pools, usually flooded at full tide[5, 17].",
6,Range,"Europe, including Britain, south and east to N. Africa and W. Asia. Also in S. Africa.",
7,Edibility Rating,(3 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Moist Soil,Wet Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/HalimionePortulacoides.gif, https://pfaf.org/../Admin/PlantImages/HalimionePortulacoides2.gif",
13,Summary,,
14,Physical Characteristics,"Halimione portulacoides is an evergreen Shrub growing to 0.8 m (2ft 7in). It is in leaf all year, in flower from July to September. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Wind.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist or  wet soil. The plant can tolerate maritime exposure.",
15,Synonyms,Atriplex portulacoides. Obione portulacoides.,
16,Plant Habitats,Bog Garden; Cultivated Beds;,
17,Edible Parts,Leaves: ,
18,Edible Uses,,
19,Edible Uses Description,"Leaves - raw in salads or cooked as a potherb[5, 8, 12, 183]. Thick and succulent with a good crunchy texture and a natural saltiness[183, K]. They need careful washing when collected from the wild[52].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"Succeeds in poor soils, saline soils and a sunny position. Tolerates light shade and maritime exposure.",
26,Plant Propagation,"Seed - best sown as soon as it is ripe in the autumn in a cold frame. The seed germinates from winter onwards. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of half-ripe wood, July/August in a frame. Very easy[K]. Division in spring.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
