,Attributes,Description
0,Latin Name,Heuchera glabra
1,Common Name,Alpine Heuchera
2,Family,Saxifragaceae
3,USDA hardiness,4-8
4,Known Hazards,None known
5,Habitats,Stream banks and crevices of moist rocks from the coast to above the timber line[60].
6,Range,Western N. America.
7,Edibility Rating,(1 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(1 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/HeucheraGlabra.jpg, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Heuchera glabra is an evergreen Perennial growing to 0.6 m (2ft).  See above for USDA hardiness. It is hardy to UK zone 4 and is not frost tender. It is in leaf all year, in flower from July to August, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Ground Cover;
17,Edible Parts,Leaves: 
18,Edible Uses,
19,Edible Uses Description,Leaves - raw or cooked[172]. Not choice[172].
20,Medicinal Uses,"Antiseptic: Preventing sepsis, decay or putrefaction, it destroys or arrests the growth of micro-organisms.,Salve: Soothes and heals damaged skin.,Styptic: An astringent that stops bleeding by contracting the blood vessels.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.,VD: Used in the treatment of venereal disease"
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiseptic  Salve  Styptic  Tonic  VDThe root is antiseptic, salve, styptic and tonic[172]. It has been used to treat inflammation of the testicles caused by syphilis[257]."
22,Other Uses,"Mordant: Used for making a dye more permanent, it also affects the colour of the dye.,Tannin: An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc."
23,Other Uses Description,"The root can be used as an alum substitute, this is a mordant used in fixing dyes[172]. The root is rich in tannin(it contains about 9 - 20%), is this the active ingredient that acts as a mordant?[172]. A good ground cover plant for the woodland garden[200]."
24,Cultivation Details,
25,Cultivation Details Description,"Succeeds in any good sweet garden soil that does not dry out in spring[1]. Prefers full sun but tolerates partial shade[1, 111]. Prefers a well-drained fairly rich and not too heavy soil[111]. Apt to hybridize with other members of this genus[111]. A very ornamental plant[60]."
26,Plant Propagation,"Seed - sow early spring in a warm greenhouse and only just cover the seed. Germination is usually fairly rapid. Prick out the seedlings when they are large enough to handle and plant them out into their permanent positions in late spring or early summer. The seed can also be sown in the middle of spring in an outdoor seedbed and planted out in early summer. Alternatively, you can sow the seed in an outdoor seedbed in the middle of summer for planting out in the following spring. Division in March or October[1, 111]. It is best to divide the plants in August or early September, making sure that the woody roots are planted quite deeply with only the crown of foliage above the ground[233]."
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
