,Attributes,Description,age
0,Latin Name,Hyphaene thebaica,
1,Common Name,Doum Palm. Gingerbread palm.,
2,Family,Arecaceae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,Open grasslands and desert[314 ].,
6,Range,"Africa - Mauritania and Senegal to Egypt, Djibouti, Eritrea and Sudan.",
7,Edibility Rating,(2 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Tender,Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Hyphaene_thebaica1.JPEG, https://pfaf.org/../Admin/PlantImages/Hyphaene_thebaica2.JPEG",
13,Summary,,
14,Physical Characteristics,"Hyphaene thebaica is an evergreen Shrub growing to 10 m (32ft) by 8 m (26ft) at a slow rate. See above for USDA hardiness. It is hardy to UK zone 10.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline soils. It cannot grow in the shade. It prefers dry or  moist soil.",
15,Synonyms,Chamaeriphes crinite (Gaertn.) Kuntze Chamaeriphes thebaica (L.) Kuntze Corypha thebaica L. Cucifera thebaica (L.) Delile Douma thebaica (L.) Poir. Hyphaene baikieana Furtado Hyphaene crinita Gaertn. Hyphaene dahomeensis Becc. Hyphaene dankaliensis Becc. Hyphaene nodularia Becc. Hyphaene occidentalis Becc. Hyphaene santoana Furtado Hyphaene sinaitica Furtado Hyphaene togoensis Dammer ex Becc. Hyphaene tuleyana Furtado Palma thebaica (L.) Jacq.,
16,Plant Habitats,,
17,Edible Parts,"Fruit: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,"Apical bud: Typically, the end of a shoot contains an apical bud, which is the location where shoot growth occurs.",
19,Edible Uses Description,"fruit has a flavour of gingerbread[200 ]. It is eaten raw and is also made into sweetmeats, molasses and cakes[46 , 301 ]. The ovoid fruit is about 8cm long[335 ]. The unripe seed is eaten raw[46 , 335 ]. It needs proper preparation[301 ]. (No more details given[K ].) Rich in oil and protein[335 ]. The germinated seedlings, harvested just below the ground, are used as a vegetable[301 ]. Apical bud - cooked[301 ]. Used as a tasty cabbage[301 , 774 ]. Ashes from the stipes of trees can be used as a substitute for salt[303 ].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.The pounded nuts are used for dressing wounds[46 ]. The roots are used in the treatment of bilharzia[303 ]. The fruit pulp is chewed to control hypertension[303 ].,
22,Other Uses,,
23,Other Uses Description,"Agroforestry Uses: Plants are normally seen as indicators of good soils with a high water table[303 ]. They are grown along river banks in order to stabilize them[303 ]. Other Uses: The leaves contain strong fibres and have a variety of uses. They are used in basket making; can be made into ropes and string; are used for making paper, coarse textiles; are made into mats, brooms, hut walls etc; used for thatching[46 , 303 ]. The root fibres, obtained after 2 - 3 days of soaking and beating of the roots, are used for making nets[303 ]. The seed has a hard, horny kernel which is sometimes used as a substitute for the vegetable ivory nut[63 ]. However, it is inferior and often has a large central cavity which limits its applications[63 ]. It is also used for making cheap buttons and is sometimes made into small perfume boxes[46 ]. A black dye is obtained from the dried bark[303 ]. The wood can be cut using an axe, but is difficult to saw due to the many fibres that constitute the wood[303 ]. Timber from the male palm is said to be better than that from the female, as it is borer and termite proof, decorative and durable. It is often used for construction, providing supports and rafters for houses, water ducts and wheels, railway sleepers, planks, fence posts and raft construction[303 ]. The trunks are sometimes used for fuel and to make charcoal[303 ]. The leaves are also sometimes burnt as fuel[303 ]. Carbon Farming - Industrial Crop: vegetable ivory. Agroforestry Services: crop shade.",
