,Attributes,Description,age
0,Latin Name,Juglans regia,
1,Common Name,"Walnut, English walnut, Persian Walnut,",
2,Family,Juglandaceae,
3,USDA hardiness,7-9,
4,Known Hazards,None known,
5,Habitats,"Forests in the Himalayas, preferring a northerly aspect in the west but a southerly or westerly aspect in the east of the range[144].",
6,Range,E. Europe to N. Asia. More or less naturalized in S. Britain.,
7,Edibility Rating,(4 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(3 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/JuglansRegia.jpg, https://pfaf.org/../Admin/PlantImages/JuglansRegia2.jpg",
13,Summary,"Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",
14,Physical Characteristics,"Juglans regia is a deciduous Tree growing to 20 m (65ft) by 20 m (65ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 5 and is not frost tender.  It is in flower in June, and the seeds ripen in October. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Wind. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,,
16,Plant Habitats,Woodland Garden Canopy;,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,"Oil: Oil,Oil: Oil,Sap: usually of trees and usually but not always used as a drink.,Oil: ,Oil: ,Sweetener: includes sugar substitutes.,Tea: the various herb teas that can be used in place of tea, plus the genuine article.",
19,Edible Uses Description,"d - eaten raw or used in confections, cakes, ice cream etc[2, 5, 12, 34, 183]. A delicious flavour. The seed can also be ground into a meal and used as a flavouring in sweet and savoury dishes[183]. The unripe fruits are pickled in vinegar[183]. An edible oil is obtained from the seed[4, 7, 57, 183], it should not be stored for any length of time since it tends to go rancid quickly[7, 132]. The oil has a pleasant flavour and is used in salads or for cooking[183]. The sap is tapped in spring and used to make a sugar[117]. The finely ground shells are used in the stuffing of 'agnolotti' pasta[183]. They have also been used as adulterant of spices[269]. The dried green husks contain 2.5 - 5% ascorbic acid (vitamin C) - this can be extracted and used as a vitamin supplement[269]. The leaves are used as a tea[183].",
20,Medicinal Uses,"Alterative: Causes a gradual beneficial change in the body, usually through improved nutrition and elimination, without having any marked specific action.,Anodyne: Relieves pain, it is milder than an analgesic.,Antiinflammatory: Reduces inflammation of joints, injuries etc.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Bach: Plants used in the Bach flower remedies.,Blood purifier: Purifies the blood.,Cancer: Used in the treatment of cancer.,Depurative: Eliminates toxins and purifies the system, especially the blood.,Detergent: A cleansing agent, used on wounds etc. It removes dead and diseased matter.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Eczema: Used in the treatment of eczema - a chronic health condition that affects the skin, causing redness, dryness, itching and infections.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Lithontripic: Removes stones from the kidney, bladder etc.,Miscellany: Various medicinal actions that need more clarification.,Pectoral: Relieves respiratory diseases, a remedy for chest diseases.,Skin: Plants used in miscellaneous treatments for the skin.,Stimulant: Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being.,Urinary: Treats urinary problems, including urinary tract infection (UTI).,Vermifuge: Expels and kills internal parasites.,Vitamin C: Plants good for their vitamin C content",
