,Attributes,Description
0,Latin Name,Lablab purpureus
1,Common Name,"Hyacinth Bean, Bonavist-bean"
2,Family,Fabaceae or Leguminosae
3,USDA hardiness,9-11
4,Known Hazards,The raw seed is poisonous[34].
5,Habitats,Not known in a truly wild situation.
6,Range,Probably originated in the Tropics but has been cultivated for so long that its origins are obscure.
7,Edibility Rating,(4 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/LablabPurpureus.jpg, https://pfaf.org/../Admin/PlantImages/LablabPurpureus2.jpg"
13,Summary,"Bloom Color: Pink. Main Bloom Time: Early summer, Early fall, Late summer, Mid summer. Form: Spreading or horizontal."
14,Physical Characteristics,"Lablab purpureus is a PERENNIAL CLIMBER growing to 2 m (6ft 7in) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10 and is frost tender.  It is in flower from July to September, and the seeds ripen from September to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil and can tolerate drought."
15,Synonyms,L. vulgaris. Dolichos lablab. L.
16,Plant Habitats,Cultivated Beds;
17,Edible Parts,"Flowers: ,Leaves: ,Root: includes bulbs, corms, tubers, rhizomes etc.,Seed: includes nuts, cereals, peas and beans.,Seedpod: things such as Okra, French and Runner beans."
18,Edible Uses,
