,Attributes,Description,age
0,Latin Name,Laserpitium latifolium,
1,Common Name,Laserwort,
2,Family,Apiaceae or Umbelliferae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,Woods and rocky places in mountains[100].,
6,Range,Europe.,
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/LaserpitiumLatifolium.jpg, https://pfaf.org/../Admin/PlantImages/LaserpitiumLatifolium2.jpg",
13,Summary,,
14,Physical Characteristics,"Laserpitium latifolium is a PERENNIAL growing to 1.5 m (5ft).  It is not frost tender.  It is in flower from June to August, and the seeds ripen from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade;,
17,Edible Parts,,
18,Edible Uses,"Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.",
19,Edible Uses Description,"Root - used as a flavouring[2, 105, 177]. It was used by the Romans with cumin in order to season preserved artichokes[183]. A decoction of the seeds is used in beer[183].",
20,Medicinal Uses,"Stomachic: Aids and improves the action of the stomach.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Stomachic  TonicStomachic, tonic[46, 61].",
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"An easily satisfied plant, it succeeds in ordinary garden soil[1].",
26,Plant Propagation,"Seed - sow spring in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Division.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
