,Attributes,Description
0,Latin Name,Lathyrus odoratus
1,Common Name,"Sweet Pea, Wild Pea,Vetchling"
2,Family,Fabaceae or Leguminosae
3,USDA hardiness,2-11
4,Known Hazards,The seed contains a toxin that is easily extractable in cold water or alcohol[114]. This toxin causes symptoms different to lathyrism (a disease of the nervous system caused by eating the seeds of certain members of this genus)[240]. Symptoms include reproduction failure and degenerative arthritis[240].
5,Habitats,Not known
6,Range,"S. Europe - Italy, Sicily and Crete."
7,Edibility Rating,(1 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/LathyrusOdoratus.jpg, https://pfaf.org/../Admin/PlantImages/LathyrusOdoratus2.jpg"
13,Summary,"Bloom Color: Lavender, Pink, Purple, Red, White, Yellow.Main Bloom Time: Early summer, Late summer, Mid summer. Form: Spreading or horizontal."
14,Physical Characteristics,"Lathyrus odoratus is a ANNUAL CLIMBER growing to 2 m (6ft 7in) at a fast rate. It is in flower from July to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Cultivated Beds;
17,Edible Uses Description,"The seeds are rich in vitamin A[240], though the report does not say that the seeds are edible[K]."
18,Medicinal Uses,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
20,Other Uses,"Essential: Essential oils that are used in perfumery, medicines, paint solvents, insect repellents etc."
21,Other Uses Description,"An essential oil obtained from the flowers is used in perfumery[46, 61]. Nitrogen Fixer."
22,Cultivation Details,
23,Cultivation Details Description,"Landscape Uses:Arbor, Border, Container, Ground cover, Screen. An easily grown plant, succeeding in any moderately good well-drained garden soil[200], whether acid or alkaline[202]. Prefers a position in full sun[200] but it also does well in partial shade[1]. A very ornamental plant, the sweet pea is often cultivated for its sweet smelling flowers, there are many named varieties[1]. Plants climb by means of tendrils[188]. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[200]. Special Features:Not North American native, All or parts of this plant are poisonous, Suitable for cut flowers, Fragrant flowers."
24,Plant Propagation,"Pre-soak the seed for 24 hours in warm water and then sow in early spring in a cold frame[200]. When they are large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. If you have sufficient seed, then it can be sown in situ in mid spring[200]. The seed can also be sown in situ in the autumn[1, 134]."
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
