,Attributes,Description
0,Latin Name,Manihot dichotoma
1,Common Name,"Jequie manicoba, Manihot rubber tree"
2,Family,Euphorbiaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,Not known
6,Range,S. America - Brazil.
7,Edibility Rating,(0 of 5)
8,Other Uses,(1 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Tender,Well drained soil,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Manihot_dichotoma1.JPEG, https://pfaf.org/../Admin/PlantImages/Manihot_dichotoma2.JPEG"
13,Summary,
14,Physical Characteristics,"Manihot dichotoma is an evergreen Tree growing to 5 m (16ft) by 3.5 m (11ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought."
15,Synonyms,Manihot preciosa Schindler
16,Plant Habitats,
17,Edible Parts,
18,Edible Uses,"Agroforestry Services: Crop shade: Plants providing crop shade especially trees.,Industrial Crop: Hydrocarbon: Materials, chemicals and energy include bioplastics, rubber, biomass products gasoline, jet fuel, diesel, butane, propane, biogas. Plants are usually resprouting plants and saps.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits."
19,Edible Uses Description,
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
22,Other Uses,
23,Other Uses Description,"A latex obtained from the trunk is the source of Jequie rubber, or Mule gum[46 ]. The plant has no place as a rubber producer[332 ]. Native of Brazil, rather widely cultivated as a rubber plant in Tropical Africa. A good hydrocarbon industrial crop."
24,Cultivation Details,"Industrial Crop: Hydrocarbon: Materials, chemicals and energy include bioplastics, rubber, biomass products gasoline, jet fuel, diesel, butane, propane, biogas. Plants are usually resprouting plants and saps.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits."
25,Cultivation Details Description,Industrial Crop: Hydrocarbon  Management: Standard  Regional CropHumid Tropics
26,Plant Propagation,Seed
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
