,Attributes,Description
0,Latin Name,Manilkara bidentata
1,Common Name,"Balata, bulletwood, bully tree"
2,Family,Sapotaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,Moist coastal and limestone forests to lower mountain forests at elevations from near sea level up to 600 metres[379 ].
6,Range,"S. America - Brazil, Peru, Ecuador, Colombia, Venezuela, the Guyanas; C. America - Panama; Caribbean."
7,Edibility Rating,(2 of 5)
8,Other Uses,(4 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Tender,Moist Soil,Wet Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Manilkara bidentata 1.JPEG, https://pfaf.org/../Admin/PlantImages/Manilkara bidentata 2.JPEG"
13,Summary,"A native to northern South America, Central America, and the Carribean is a large tree of up to 45 m tall known as Balata or Manilkara bidentata. The bole can be up to 2 m in diameter and branchless for up to 18 m. It has broad and rounded buttresses at the base. Balata has a dense crown of horizontal branches. Its leaves are shiny green above and light brown underneath, alternate, elliptical, and 10-20 cm long. Flowering occurs at the beginning of the rainy season. The flowers are small and white or yellow. The fruits are edible yellow berries containing one or two seeds. The leaves are used in the treatment of limb paralysis. The stem yields latex known as balata gum which is used in the treatment of dysentery. It also has a wide range of uses such as for the core of golf ball, filling material inside tooth fillings, ‘mourning’ jewelry, etc. The wood is used as construction material and for making furniture. It is extremely hard, heavy, tough, and strong. It is highly resistant to fungi, dry borers, and termites, but is susceptible to marine borers. Balata tree is slow growing and highly tolerant to strong winds."
14,Physical Characteristics,"Manilkara bidentata is an evergreen Tree growing to 30 m (98ft) by 25 m (82ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10. Suitable for: medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist or  wet soil."
15,Synonyms,Achras nitida Sessé & Moc. Kaukenia globosa (C.F.Gaertn.) Kuntze Kaukenia surinamensis (Miq.) Kuntze
16,Plant Habitats,
17,Edible Parts,Fruit: 
18,Edible Uses,"Sap: usually of trees and usually but not always used as a drink.,Gum: can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods.,Milk: made from plants, that is."
