,Attributes,Description,age
0,Latin Name,Manilkara discolor,
1,Common Name,"Red milkwood, Silvery milkwood",
2,Family,Sapotaceae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,"Lowland and upland dry evergreen forest and well-drained sites in upland rainforest, at elevations from sea level to 2,100 metres[398 ].",
6,Range,"East tropical Africa - Kenya, Tanzania, Malawi, Mozambique, Zimbabwe, S. Africa.",
7,Edibility Rating,(4 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Well drained soil,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Manilkara discolor 1.JPEG, https://pfaf.org/../Admin/PlantImages/Manilkara discolor 2.JPEG",
13,Summary,"Manilkara discolor, otherwise known as Red Milkweed or Silvery Milkwood, is an evergreen tree with a dense and round canopy and has many branches. It is grown in Kenya, Tanzania, Malawi Mozambique, Zimbabwe, and South Africa. It grows about 3 - 40 m in height. The trunk is smooth, light-colored, and straight. The leaves are large, oblong, and green with silvery hairs underneath. The flowers form into groups in leaf axils. The fruit has juicy and fleshy pulp that is delicious. It is yellow to red and round. The seed is flat, oval, and pale. The plant yields white latex. The wood is hard and used for fuel, or poles, tool handles, carvings, and spoons.",
14,Physical Characteristics,"Manilkara discolor is an evergreen Tree growing to 20 m (65ft) by 20 m (65ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Bees.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.",
15,Synonyms,Eichleria discolor (Sond.) M.M.Hartog Labourdonnaisia discolor Sond. Labourdonnaisia sericea Benth.,
16,Plant Habitats,,
17,Edible Parts,Fruit: ,
18,Edible Uses,,
19,Edible Uses Description,"Fruit - raw[398 ]. The juicy, fleshy pulp is very tasty[398 ]. Eaten as a snack, especially by children and travellers, the seeds are discarded[398 ]. The yellow to red, fleshy, oval berries are up to 13mm in diameter, enclosing an oval flattened pale-coloured seed[398 ].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,"Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Latex: A source of rubber.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
23,Other Uses Description,"Agroforestry Uses: The tree is good for shade[398 ]. Other Uses The plant exudes a white latex[398 ]. The wood is hard[398 ]. It is used for poles, tool handles, carvings and spoons[398 ]. The wood is used for fuel[398 ].",
24,Cultivation Details,,
25,Cultivation Details Description,Prefers a well-drained soil[308 ].,
26,Plant Propagation,Seed -,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
