,Attributes,Description,age
0,Latin Name,Menyanthes trifoliata,
1,Common Name,"Bogbean, Buckbean, Marsh Trefoil,",
2,Family,Menyanthaceae,
3,USDA hardiness,2-7,
4,Known Hazards,"Large doses may cause abdominal pains, nausea, diarrhoea and vomiting. Reports of red cell damage (haemolysis). Effects may be due to the salicylic acid constituent [301].",
5,Habitats,"Shallow water on the edges of ponds and in marshy ground, usually in acid soils[7, 17, 24].",
6,Range,"Europe, including Britain, from Scandanavia south and east to Spain, N. and C. Asia, Morocco.",
7,Edibility Rating,(2 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(3 of 5),
11,Care (info),"Fully Hardy,Wet Soil,Water Plants,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/MenyanthesTrifoliata.jpg, https://pfaf.org/../Admin/PlantImages/MenyanthesTrifoliata2.jpg",
13,Summary,"Bloom Color: Pink, White. Main Bloom Time: Early summer, Late summer, Mid summer. Form: Prostrate, Spreading or horizontal, Variable spread.",
14,Physical Characteristics,"Menyanthes trifoliata is a PERENNIAL growing to 0.3 m (1ft) by 1 m (3ft 3in) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower from May to July. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, Lepidoptera (Moths & Butterflies).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid and neutral soils. It cannot grow in the shade. It prefers  wet soil and can grow in water.",
15,Synonyms,,
16,Plant Habitats,Pond; Bog Garden;,
17,Edible Parts,"Root: includes bulbs, corms, tubers, rhizomes etc.",
18,Edible Uses,"Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.",
19,Edible Uses Description,"Root - cooked[2, 55]. It must be treated to get rid of an acrid taste[115, 172]. This can be done by drying the root, grinding it into a powder and then washing it in running water[2]. Unfortunately, this treatment will also get rid of many of the vitamins and minerals contained in the root[K]. The powder can be used for making 'missen bread' (famine bread)[183]. The root is an emergency food that is used when all else fails[177]. The intensely bitter leaves are used as a substitute for hops in making beer[2, 7, 13, 145, 183].",
20,Medicinal Uses,"Antiinflammatory: Reduces inflammation of joints, injuries etc.,Appetizer: Improves the appetite,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Carminative: Reduces flatulence and expels gas from the intestines.,Cathartic: A strong laxative but less violent than a purgative.,Deobstruent: Clears obstructions from the natural ducts of the body.,Digestive: Aids digestion.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Dysentery: Used in treating dysentery - an infection of the intestines that causes diarrhoea containing blood or mucus.,Emetic: Induces vomiting.,Emmenagogue: Promotes or increases the menstrual flow. In early stages of pregnancy it can induce an abortion.,Febrifuge: Reduces fevers.,Hypnotic: Induces sleep.,Stomachic: Aids and improves the action of the stomach.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.",
