,Attributes,Description,age
0,Latin Name,Microberlinia brazzavillensis,
1,Common Name,Zingana,
2,Family,Fabaceae,
3,USDA hardiness,10-12,
4,Known Hazards,None known,
5,Habitats,Coastal forest[338 ].,
6,Range,"Western tropical Africa - Congo, Gabon.",
7,Edibility Rating,(0 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Microberlinia brazzavillensis 1.JPEG, https://pfaf.org/../Admin/PlantImages/Microberlinia brazzavillensis 2.JPEG",
13,Summary,"A large tree growing up to 45 m in height, Zingana or Microberlinia brazzavillensis is a specialty timber tree grown in Congo and Gabon in Africa. It has a straight and cylindrical bole that can be up to 150 cm in diameter, and short buttresses. It has a symbiotic relationship with certain soil bacteria which form nodules on the roots and fix atmospheric nitrogen. Its wood is highly durable and resistant to the attack of termites and wood rotting fungi. It is used for decorative veneers and turnery, tool handles, and ski manufacture. It is also known in other common names such as zebrano and allen ele.",
14,Physical Characteristics,"Microberlinia brazzavillensis is an evergreen Tree growing to 35 m (114ft) by 30 m (98ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid and neutral soils and can grow in saline soils. It cannot grow in the shade. It prefers  moist soil. The plant can tolerates strong winds but not maritime exposure.",
15,Synonyms,,
16,Plant Habitats,,
17,Edible Uses Description,None known,
18,Medicinal Uses,,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
20,Other Uses,"Furniture: A few miscellaneous uses that do not fit easily into other headings.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
21,Other Uses Description,"Other Uses The heartwood is pale yellow brown with narrow darker streaks, the striping pattern varies considerably; it is clearly demarcated from the white sapwood, which is up to 10cm wide[316 ]. The texture is medium to coarse; the grain usually wavy or interlocked; lustrous; an unpleasant odour disappearing upon drying[316 ]. The heartwood is durable and resistant to termite attack. The wood saws fairly well, although a clean smooth finish is sometimes difficult to obtain with machine or hand planing; it has good gluing properties, although veneers need careful handling to avoid cracking[316 ]. A speciality timber, it is used for decorative veneers and turnery; because of its high toughness it is also used in ski manufacture, tool handles etc[316 , 349 ].",
22,Cultivation Details,,
23,Cultivation Details Description,"This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[200 ].",
24,Plant Propagation,Seed -,
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
