,Attributes,Description,age
0,Latin Name,Moringa stenopetala,
1,Common Name,"African horseradish tree, cabbagetree",
2,Family,Moringaceae,
3,USDA hardiness,10-12,
4,Known Hazards,"The glucosinolates in the leaves were found to cause goitre but to a lesser extent than expected on the basis of their concentration. However, in a diet poor in iodine it may be a contributing factor[299 ].",
5,Habitats,"Acacia tortilis woodland, riverine woodland of Hyphaene, Acacia, etc.; Acacia, Delonix, Commiphora associations, scrub and succulent steppe; usually on rocky ground by permanent water; at elevations from 390 - 1,200 metres[328 ].",
6,Range,East tropical Africa - Ethiopia and Kenya.,
7,Edibility Rating,(4 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(3 of 5),
11,Care (info),"Tender,Well drained soil,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Moringa stenopetala_Low_Resolution.JPEG, https://pfaf.org/../Admin/PlantImages/Moringa stenopetala 2.JPEG",
13,Summary,"African Horseradish Tree or Moringa stenopetala is a cultivated food plant reaching a height of up to 15 m. It has a smooth bark, soft branches, compound leaves, and white scented flowers. The fruits are yellow, long pods that split open to release winged seeds. Leaf infusion is a remedy for leprosy, hypertension, retained placenta, asthma, colds, and wounds. Roots are burned and the smoke is inhaled as a treatment for epilepsy. The leaves and roots are used in the treatment of malaria, stomach conditions, and diabetes. Young leaves are eaten raw or cooked. Young fruits, flowers, and seedpods are all edible as well. The seeds are used to purify water. Seed oil is used as a lubricant, and in perfumery and soap making. The wood is used for paper making, and as firewood and charcoal.",
14,Physical Characteristics,"Moringa stenopetala is a deciduous Tree growing to 9 m (29ft) by 9 m (29ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and  can grow in very acid soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.",
15,Synonyms,Donaldsonia stenopetala Baker f. Moringa streptocarpa Chiov.,
16,Plant Habitats,,
17,Edible Parts,"Flowers: ,Fruit: ,Leaves: ,Seedpod: things such as Okra, French and Runner beans.",
18,Edible Uses,"Oil: Oil,Oil: ",
19,Edible Uses Description,"ng leaves - raw or cooked and eaten as a vegetable[301 , 317 ]. A larger leaf with a milder flavour than the leaves of M. Oleifera[301 ]. Traditionally, the leaflets are separated from the rachis and plunged into boiling water. Salt or sodium carbonate is added to the water. While the leaves are cooking, a mixture of flours is prepared, then kneaded and made into balls 2 - 5cm in diameter. These are tossed into the water as well and after about 10 minutes the balls and the leaves are ready to serve[299 ]. The addition of fat (grease or butter), small-sized cereal balls and a large amount of leaves are considered to make this dish a good-quality meal[299 ]. The young, soft fruits can also be added, but the slightly bitter taste restricts the use to periods when food is in short supply[299 ]. Flowers - cooked and eaten as a vegetable[418 ]. Seedpods - cooked[418 ]. This probably refers to the young seedpods, as mentioned above, which have a bitter flavour[K ].",
20,Medicinal Uses,"Anthelmintic: Expels parasites from the gut.,Antiasthmatic: Treats asthma.,Antidiarrhoeal: Provides symptomatic relief for diarrhoea. Also see Astringent.,Antitussive: Prevents or relieves coughing.,Epilepsy: Used in the treatment of Epilepsy - a disorder in which nerve cell activity in the brain is disturbed, causing seizures.,Hypoglycaemic: Reduces the levels of sugar in the blood.,Hypotensive: Reduces blood pressure, it is used in the treatment of high blood pressure,Leprosy: Used to treat leprosy - a chronic bacterial infection of the skin and superficial nerves (in the skin) caused by Mycobacterium leprae.,Malaria: Treats malaria - an acute febrile illness caused by Plasmodium parasites spread to people through the bites of mosquitos.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Anthelmintic  Antiasthmatic  Antidiarrhoeal  Antitussive  Epilepsy  Hypoglycaemic  Hypotensive  Leprosy  MalariaAn infusion of the leaves is used as a remedy against leprosy[299 ]. They are also used to treat hypertension, retained placenta, asthma, colds, as an anthelmintic, to induce vomiting and to promote wound healing[299 ]. The leaves of certain trees of this species are renowned for their effectiveness against diarrhoea. The smoke of burning roots is used as a treatment for epilepsy[299 ]. The smoke is said to be inhaled by women in Sudan during a difficult labour, but as the species has not been collected so far in Somalia, this record is probably incorrect[299 ]. The leaves and roots are used as a cure for malaria, stomach problems and diabetes[299 ]. The bark is chewed as a treatment against coughs, and is also used to make fortifying soups[299 ]. Ethanol extracts of the leaves and roots have shown promise in control of Trypanosoma brucei and Leishmania donovani in in-vitro experiments[299 ]. The leaf extract causes increased uterine smooth muscle contractions[299 ]. The medicinal use of leaves to expel a retained placenta may be related to these increased contractions[299 ]. A crude seed extract strongly inhibited growth of Staphylococcus aureus, Salmonella typhi, Shigella sp. And Candida albicans[299 ]. An aqueous extract of the leaves has been found to lower blood glucose concentration although it was less potent than glibenclamide. The effect was observed to increase with time and with increasing dose of the extract[299 ].",
22,Other Uses,"Charcoal: Used for fuel, drawing, deodorant, filter, fertilizer etc.,Cosmetic: Used to improve the physical appearence of a person.,Fencing: Plants that can be used for fencing.,Filter: Used to strain out particles from liquids.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.,Paper: Related to the entry for Fibre, these plants have been specifically mentioned for paper making.,Shelterbelt: Wind resistant plants than can be grown to provide shelter in the garden etc.,Soap: Plants used directly as a soap substitute.,Soil stabilization: Plants that can be grown in places such as sand dunes in order to prevent erosion by wind, water or other agents.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
