,Attributes,Description
0,Latin Name,Musa balbisiana
1,Common Name,"Plantain, Plantain Banana"
2,Family,Musaceae
3,USDA hardiness,9-12
4,Known Hazards,None known
5,Habitats,"Forests, on forest edges, in ravines and on water sides[418 ]."
6,Range,"E. Asia - China, Indian subcontinent, Myanmar, Thailand, Vietnam, Malaysia, Indonesia, Philippines, New Guinea."
7,Edibility Rating,(4 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,No
10,Medicinal Rating,(1 of 5)
11,Care (info),"Tender,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Musa balbisiana 1.JPEG, https://pfaf.org/../Admin/PlantImages/Musa balbisiana 2.JPEG"
13,Summary,"Musa balbisiana or commonly known as Plantain is a native to eastern South Asia, northern Southeast Asia, and souther China. It is a perennial plant that reaches a height of around 6 m, with pseudo stems of up to 30 cm in base diameter. The leaves are upright and in clumps. The flowers are red to maroon. The fruits are pale yellow and inedible when raw due to its numerous seeds. It is cooked when ripe. The underground stem can be eaten as a vegetable. The inner stem and male flower clusters are used in curries. The fruit also has medicinal properties but no detailed information was provided. The leaves can be used as food wrapper or as plates. The stem yields fiber and the whole plant yields dye. Plantain can be propagated by division."
14,Physical Characteristics,"Musa balbisiana is an evergreen Perennial growing to 5 m (16ft) by 3 m (9ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Birds, Bats. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid and neutral soils and  can grow in very acid soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil. The plant is not wind tolerant."
15,Synonyms,Musa × sapientum pruinosa (King ex Baker) A.M.Cowan & Cowan Musa × sapientum pruinosa King ex Baker
16,Plant Habitats,
17,Edible Parts,"Flowers: ,Fruit: ,Stem: this often intergrades into leaves."
18,Edible Uses,
19,Edible Uses Description,"Fruit - raw or cooked[418 ]. The fruit is not often eaten raw, being unpopular because of its seediness[301 ]. The ripe fruit is boiled, baked, fried, or roasted[418 ]. Juice from the ripe fruits is mixed with sugar and then fermented into a type of vinegar[301 , 418 ]. Young fruits are used like green papaya in salads and pickles[301 ]. The green, yellow or brown fruits can be 10 - 25cm long. They can be seeded or seedless[418 ]. The underground stem can be eaten as a vegetable[418 ]. The inner stem is sometimes eaten in curries[301 ]. Male flower clusters - sometimes used as an ingredient in curries[301 ]."
20,Medicinal Uses,Miscellany: Various medicinal actions that need more clarification.
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.MiscellanyThe fruit has medicinal properties[418 ].
22,Other Uses,"Containers: Plants, such as gourds, that can be used as containers. Does not include baskets or containers made from wood.,Dye: Plants that provide dyes.,Fibre: Used for making cloth, rope, paper etc.,Miscellany: A rag-bag of items that are difficult to categorise."
23,Other Uses Description,"Other Uses The leaves are used for wrapping foods, for cooking and as plates[301 , 418 ]. s can be obtained from the stem[317 ]. The plant yields a dye[317 ]."
24,Cultivation Details,
25,Cultivation Details Description,"A plant of the humid tropics, where it is found at elevations up to 1,200 metres. It grows best in areas where annual daytime temperatures are within the range 23 - 28°c, but can tolerate 16 - 38°c[418 ]. Mature growth can be killed by temperatures of 8°c or lower, whilst young growth can be killed at 12°c[418 ]. It prefers a mean annual rainfall in the range 1,300 - 3,000mm, but tolerates 1,000 - 5,000mm[418 ]. Prefers a position in full sun or light shade[418 ]. Succeeds in most moderate to fertile soils that are well-drained[418 ]. Requires a position sheltered from strong winds[418 ]. Prefers a pH in the range 5.5 - 7, tolerating 4.5 - 7.5[418 ]. Flowering Time: Mid Summer Late Summer/Early Fall. Bloom Color: Fuchsia (Red-Purple). Spacing: 36-48 in. (90-120 cm) 4-6 ft. (1.2-1.8 m) 6-8 ft. (1.8-2.4 m)."
26,Plant Propagation,Seed -
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
