,Attributes,Description,age
0,Latin Name,Paliurus spina,
1,Common Name,"Christ's Thorn, Jeruselem thorn",
2,Family,Rhamnaceae,
3,USDA hardiness,7-10,
4,Known Hazards,None known,
5,Habitats,"Hedges, roadsides and thickets, in maquis and garigue on dry sandy hills to 3000 metres[89].",
6,Range,S. Europe to W. Asia.,
7,Edibility Rating,(1 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Frost Hardy,Well drained soil,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PaliurusSpina-christi.jpg, https://pfaf.org/../Admin/PlantImages/PaliurusSpina-christi2.jpg",
13,Summary,,
14,Physical Characteristics,"Paliurus spina-christi is a deciduous Shrub growing to 5 m (16ft) by 5 m (16ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 8.  It is in flower from July to August, and the seeds ripen from October to December. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil and can tolerate drought.",
15,Synonyms,P. aculeata. P. australis. P. virgatus.,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Hedge;,
17,Edible Parts,Fruit: ,
18,Edible Uses,,
19,Edible Uses Description,"Fruit - raw or dried for later use. A pleasant sub-acid taste, somewhat resembling dried apples[183]. The woody fruit is up to 30mm in diameter[200].",
20,Medicinal Uses,"Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Astringent  Diuretic  TonicAnticathartic, astringent, diuretic and tonic[218].",
22,Other Uses,"Hedge: Plants that can be grown as hedges.,Hedge: Plants that can be grown as hedges.",
23,Other Uses Description,"The plants are used for hedging, they have a loose but bushy habit[11, 200].",
24,Cultivation Details,,
25,Cultivation Details Description,"Succeeds in an ordinary well-drained garden soil in full sun[182, 200]. Tolerates light shade[202]. Prefers a limy soil[200]. Grows well in dry soils and, once established, is drought tolerant[184]. Prefers a light sandy soil in a warm sunny position[245]. Hardy to about -15°c[184]. Plants are of slow to moderate growth[202]. The branches are pliable and excessively spiny[11]. Plants can regrow from the base if they are cut back by severe weather[200]. The flowers are slightly perfumed[245]. Plants in this genus are notably resistant to honey fungus[200].",
26,Plant Propagation,"Seed - best sown as soon as it is ripe in a cold frame and moved into the greenhouse in February. Fair to good germination[78]. Prick out the seedlings into individual pots when they are large enough to handle and overwinter them in the greenhouse for their first year. Plant them out in early summer. Cuttings of half-ripe wood, July/August in a frame[200]. Root cuttings 4cm long, December in a greenhouse. Fair to good percentage[78]. Layering",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
