,Attributes,Description
0,Latin Name,Pedicularis canadensis
1,Common Name,Common Lousewort
2,Family,Scrophulariaceae
3,USDA hardiness,3-7
4,Known Hazards,The plant is said to be poisonous to sheep[274].
5,Habitats,"Dry woods, thickets and clearings[43, 235]."
6,Range,"Eastern N. America - Nova Scotia to Manitoba, south to northern Mexico and east to Florida."
7,Edibility Rating,(1 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PedicularisCanadensis.jpg, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Pedicularis canadensis is a PERENNIAL growing to 0.4 m (1ft 4in).  See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower from July to August. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Cultivated Beds;
17,Edible Parts,Leaves: 
18,Edible Uses,
19,Edible Uses Description,"Leaves - cooked[105, 161, 177, 257]."
20,Medicinal Uses,"Antitumor: Preventing, or effective against, tumors, it is used in the treatment of cancer. Probably synonymous with Cytotoxic.,Aphrodisiac: Increases the sexual appetite.,Blood tonic: Is this any different to a blood purifier?,Cardiac: Used in the treatment of heart problems.,Poultice: A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc.,Stomachic: Aids and improves the action of the stomach."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antitumor  Aphrodisiac  Blood tonic  Cardiac  Poultice  StomachicThe roots are blood tonic, cardiac and stomachic[257]. A tea is used in the treatment of stomach aches, ulcers, diarrhoea, anaemia and heart troubles[222, 257]. A poultice of the root is applied to swellings, sore muscles and tumours[218, 257]. The finely grated roots were secretly added to food as an alleged aphrodisiac[222]. An infusion of the leaves has been used to procure an abortion[257]. An infusion of the fresh or dried leaves has been used to treat a sore throat[257]."
22,Other Uses,
23,Other Uses Description,None known
24,Cultivation Details,
25,Cultivation Details Description,"A semi-parasitic plant, growing on grass roots. Rather difficult to establish in cultivation, it is best grown in conditions that approximate to its native habitat[200]. It requires a moist peaty soil and the presence of host grasses[1]. The plant is said to parasitize at least 80 different species in 35 different genera[274]. Requires a partially shaded to sunny site in a well-drained gritty but moist soil[200]."
26,Plant Propagation,Seed - sow in pots of turf collected from the proximity of wild colonies or sow directly onto the sites where the plants are to remain[200]. Division of established plants might be possible in the spring. Establish the divisions near the parent plants[200]
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
