,Attributes,Description
0,Latin Name,Peltophorum pterocarpum
1,Common Name,"Copperpod, Yellow Poinciana"
2,Family,Fabaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,"Preferring open or disturbed forest conditions, it is frequently found along beaches and in mangrove forests, especially the inner margins of mangroves[303 ]. It is also found growing wild in Imperata grassland fields and teak forests[303 ]."
6,Range,"E. Asia - Sri Lanka, Thailand, Malaysia, Vietnam, Indonesia, Philippines, New Guinea, Australia."
7,Edibility Rating,(0 of 5)
8,Other Uses,(4 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Peltophorum pterocarpum 1.JPEG, https://pfaf.org/../Admin/PlantImages/Peltophorum pterocarpum 2.JPEG"
13,Summary,"pterocarpum is a fast-growing species with a deep root system and a dense spreading crown. It is often planted as a shade tree in plantations in East Asia. Also, it has symbiotic relationship with certain soil bacteria that form nodules in the root and fix atmospheric nitrogen. Flowering commence at four years. It grows up to 24m in height and up to 100cm in trunk diameter. The leaves are bipinnate and each leaf is comprised of about 20-40 oval leaflets. The flowers are yellow. There is no known edible part of this plant but it is used in traditional medicine. In particular, the bark is used as treatment for sprains, bruises, swelling, eye problems, body sore, and intestinal disorders. Leaflets and buds are found to have antifungal properties while an alcoholic extract from the flowers has anti inflammatory and antibacterial properties. Moreover, the bark produces a yellowish brown dye which is used in the textile industry particularly for dyeing batik products and fishing nets. The wood is used as fuel and as material for constructions, boat building, cabinet making, etc. Other common names include poinciana, yellow, yellow flamboyant, and yellow flame. Copperpod or Peltophorum."
14,Physical Characteristics,"Peltophorum pterocarpum is an evergreen Tree growing to 20 m (65ft) by 20 m (65ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10 and is frost tender. The flowers are pollinated by Bees, Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in heavy clay and nutritionally poor soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and  can grow in very acid, very alkaline and saline soils. It cannot grow in the shade. It prefers  moist soil and can tolerate drought. The plant can tolerates strong winds but not maritime exposure."
15,Synonyms,Baryxylum inerme (Roxb.) Pierre Caesalpinia ferruginea Decne. Caesalpinia inermis Roxb. Inga pteroca
16,Plant Habitats,
17,Edible Uses Description,None known
18,Medicinal Uses,"Antibacterial: Kills bacteria.,Antifungal: An agent that inhibits or destroys fungi. Used in the treatment of various fungal problems such as candida.,Antiinflammatory: Reduces inflammation of joints, injuries etc.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Mouthwash: Treats problems such as mouth ulcers.,Ophthalmic: Treats eye complaints."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antibacterial  Antifungal  Antiinflammatory  Astringent  Mouthwash  OphthalmicThe bark contains tannins[317 ]. In traditional medicine it is used as an astringent to cure or relieve intestinal disorders after pain at childbirth, sprains, bruises and swelling or as a lotion for eye troubles, muscular pains and sores[303 ]. It is also used for gargles and tooth powders[303 ]. An antifungal principle is present in the leaflets and buds[303 ]. The flowers contain a flavanone glycoside pigment, naringenin 7-glucoside[310 ]. An alcoholic extract from the flowers has an anti-inflammatory effect and an antibacterial activity[310 ]."
20,Other Uses,"Containers: Plants, such as gourds, that can be used as containers. Does not include baskets or containers made from wood.,Dye: Plants that provide dyes.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Furniture: A few miscellaneous uses that do not fit easily into other headings.,Green manure: Fast-growing plants that can be used to increase the fertility of the soil.,Hedge: Plants that can be grown as hedges.,Preservative: For food, or for treating wood, ropes etc.,Shelterbelt: Wind resistant plants than can be grown to provide shelter in the garden etc.,Tannin: An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc.,Teeth: Plants used to clean and care for the teeth.,Wood: A list of the trees and shrubs that are noted for having useful wood."
