,Attributes,Description,age
0,Latin Name,Phacelia tanacetifolia,
1,Common Name,"Fiddleneck, Lacy phacelia",
2,Family,Hydrophyllaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,Open flats and slopes below 1200 metres[71].,
6,Range,South-western N. America in California. Often naturalized in Europe[50].,
7,Edibility Rating,(0 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PhaceliaTanacetifolia.jpg, https://pfaf.org/../Admin/PlantImages/PhaceliaTanacetifolia2.jpg",
13,Summary,,
14,Physical Characteristics,"Phacelia tanacetifolia is a ANNUAL growing to 0.6 m (2ft) by 0.3 m (1ft in).  It is not frost tender. It is in leaf from May to September, in flower from July to September, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,,
18,Edible Uses,"Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits.,Staple Crop: Balanced carb: (0-15 percent protein, 0-15 percent oil, with at least one over 5 percent). The carbohydrates are from either starch or sugar. Annuals include maize, wheat, rice, and potato. Perennials include chestnuts, carob, perennial fruits, nuts, cereals, pseudocereals, woody pods, and acorns.",
19,Edible Uses Description,,
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,Green manure: Fast-growing plants that can be used to increase the fertility of the soil.,
23,Other Uses Description,"Used as a green manure crop, but has not as yet (1980) been properly tested in Britain[87]. It is not very deep rooted.",
24,Cultivation Details,,
25,Cultivation Details Description,"Succeeds in any moderately fertile well-drained soil in a sunny position[200]. Prefers a moist soil[108]. The flowers are a rich source of nectar and is occasionally grown commercially as a crop for bees[46, 50, 61].",
26,Plant Propagation,Seed - sow in situ in late spring or late summer. The plant often self-sows.,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
