,Attributes,Description,age
0,Latin Name,Phalaris canariensis,
1,Common Name,"Canary Grass, Annual canarygrass",
2,Family,Poaceae or Gramineae,
3,USDA hardiness,5-9,
4,Known Hazards,None known,
5,Habitats,Dry open habitats[50]. A casual of waste places in Britain[17].,
6,Range,Europe - Mediterranean.,
7,Edibility Rating,(2 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Wet Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PhalarisCanariensis.jpg, https://pfaf.org/../Admin/PlantImages/PhalarisCanariensis2.jpg",
13,Summary,,
14,Physical Characteristics,"Phalaris canariensis is a ANNUAL growing to 1 m (3ft 3in).  See above for USDA hardiness. It is hardy to UK zone 6. It is in leaf from May to October, in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Wind.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist or  wet soil.",
15,Synonyms,,
16,Plant Habitats,Bog Garden; Cultivated Beds;,
17,Edible Parts,"Leaves: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,,
19,Edible Uses Description,"Seed - cooked. Widely grown as a food for caged birds, the seed is rather small but can also be used as a cereal for making porridge etc[2]. It can be ground into a flour and used for making cakes, puddings etc[2, 22, 46, 61, 74, 115]. Leaves - cooked[106]. The young plant is used[177].",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"An easily grown plant, succeeding in an ordinary garden soil[1]. It is tolerant of most conditions, dry or wet[200]. Cultivated for its seed which is commonly used in wild bird food mixes[1].",
26,Plant Propagation,Seed - sow spring in situ[162].,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
