,Attributes,Description
0,Latin Name,Phlox divaricata
1,Common Name,Wild blue phlox
2,Family,Polemoniaceae
3,USDA hardiness,4-9
4,Known Hazards,None Known
5,Habitats,"Indigenous to rich deciduous woodlands, open moist to slightly dry woods, seasonal floodplains, stream banks and open areas near woodland paths."
6,Range,"Eastern North America in Quebec and Ontario, south to Vermont and Florida and west to South Dakota and New Mexico."
7,Edibility Rating,(0 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Full shade,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Phlox_divaricata1.JPEG, https://pfaf.org/../Admin/PlantImages/Phlox_divaricata2.JPEG"
13,Summary,
14,Physical Characteristics,Phlox divaricata is an evergreen Perennial growing to 0.5 m (1ft 8in) by 1 m (3ft 3in) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 5. It is noted for attracting wildlife.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid and neutral soils. It can grow in full shade (deep woodland) semi-shade (light woodland) or no shade. It prefers  moist soil and can tolerate drought.
15,Synonyms,P. divaricata f. divaricata. P. divaricata var. divaricata
16,Plant Habitats,
17,Edible Uses Description,None Known
18,Medicinal Uses,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
20,Other Uses,"Soil conditioner: Plants grown to improve the structure of the soil. See also Green manures.,Soil stabilization: Plants that can be grown in places such as sand dunes in order to prevent erosion by wind, water or other agents."
21,Other Uses Description,"A medium density groundcover for shady areas especially with acid soils. Good for woodland gardening. Attractive to butterflies, clearwing moths, and hummingbirds. As a long- lived perennial with fibrous roots it may be good for soil building and erosion control [318-1]."
22,Cultivation Details,
23,Cultivation Details Description,"Herbaceous perennial ephemeral wildflower with showy fragrant flowers. USDA Hardiness Zones: 4 - 9. Soil pH: 5.5 - 7.1. Growth Rate: Moderate. Life Span: Long-Lived Perennial. Stand Persistence: Medium. Form: Upright. Texture: Fine. Sun: bright shade, partial shade, shade. Soil Type: Loamy, Silty. Soil Moisture: Moderate. Minimum Root Depth: 14 inches (0.3m). Root Type: Fibrous Deep. Seasonal Interest: Spring. Flower Color: Blue, Pink, Purple, White. Flood: Sensitive. Salt: Intolerant. Soil Compaction: Moderate. Mowing: Intolerant. Fire Damage: Intolerant. Cold Injury: Infrequent. Disease Issues: Minor. Insect/Pest Damage: Minor. Bloom Time: Spring - Early Summer. Plants tolerate clay loam, sand, acid or alkaline pH, heat, drought, part sun and dry shade.  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2]. Evergreen. The root pattern is fibrous dividing into a large number of fine roots [1-2]. Royal Horticultural Society Award of Garden Merit"
24,Plant Propagation,Propagate by division in fall or spring. Propagate by basal cuttings in spring or propagate by root cuttings in early fall or winter.
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
