,Attributes,Description
0,Latin Name,Pinus roxburghii
1,Common Name,Chir Pine
2,Family,Pinaceae
3,USDA hardiness,8-11
4,Known Hazards,"The wood, sawdust and resins from various species of pine can cause dermatitis in sensitive people[222]."
5,Habitats,Forms extensive forests to 2700 metres[51]. Does best on north slopes or on good soils[146].
6,Range,E. Asia - Himalayas from Afghanistan to Bhutan.
7,Edibility Rating,(2 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Half Hardy,Well drained soil,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PinusRoxburghii.jpg, https://pfaf.org/../Admin/PlantImages/PinusRoxburghii2.jpg"
13,Summary,
14,Physical Characteristics,"Pinus roxburghii is an evergreen Tree growing to 40 m (131ft 3in).  See above for USDA hardiness. It is hardy to UK zone 9. It is in leaf all year, and the seeds ripen in April. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Wind. The plant is not self-fertile.  Suitable for: light (sandy) and medium (loamy) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought."
15,Synonyms,P. longifolia. non Salisb.
16,Plant Habitats,Woodland Garden Canopy;
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans."
18,Edible Uses,"Manna: this is a sweet substance that exudes naturally from certain plants, usually from the stems.,Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments."
19,Edible Uses Description,"- raw or cooked[51, 63, 158, 183, 272]. Not very nice, it has a strong flavour of turpentine[105] and is only eaten as an emergency food[177]. A reasonable size, the seed is up to 11mm long[200]. A sweet edible manna exudes from the bark and twigs[177, 183]. It is actually a gum[177]. A vanillin flavouring is obtained as a by-product of other resins that are released from the pulpwood[200]."
20,Medicinal Uses,"Antiseptic: Preventing sepsis, decay or putrefaction, it destroys or arrests the growth of micro-organisms.,Diaphoretic: Induces perspiration.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Rubefacient: A counter-irritant and external stimulant, it produces inflammation and redness of the skin.,Stimulant: Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being.,Vermifuge: Expels and kills internal parasites."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiseptic  Diaphoretic  Diuretic  Rubefacient  Stimulant  VermifugeThe turpentine obtained from the resin of all pine trees is antiseptic, diuretic, rubefacient and vermifuge[4]. It is a valuable remedy used internally in the treatment of kidney and bladder complaints and is used both internally and as a rub and steam bath in the treatment of rheumatic affections[4]. It is also very beneficial to the respiratory system and so is useful in treating diseases of the mucous membranes and respiratory complaints such as coughs, colds, influenza and TB[4]. Externally it is a very beneficial treatment for a variety of skin complaints, wounds, sores, burns, boils etc and is used in the form of liniment plasters, poultices, herbal steam baths and inhalers[4]. The wood is diaphoretic and stimulant[240]. It is useful in treating burning of the body, cough, fainting and ulcers[240]."
22,Other Uses,"Charcoal: Used for fuel, drawing, deodorant, filter, fertilizer etc.,Dye: Plants that provide dyes.,Herbicide: Plants or plant extracts that can inhibit the growth of other plants.,Ink: Plants that can be used as an ink.,Lighting: Plants that can be used as torches etc. See also Oil and Wax.,Resin: Used in perfumery, medicines, paints, soap making etc. This also includes turpentine, which is extracted from many resins and used as a preservative, water proofer etc,,Wood: A list of the trees and shrubs that are noted for having useful wood."
