,Attributes,Description
0,Latin Name,Platymiscium ulei
1,Common Name,"Macacauba, Macawood, Hormigo, Orange Agate"
2,Family,Fabaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,Rain forests and forested slopes[422 ].
6,Range,"S. America - Brazil, Bolivia, the Guyanas."
7,Edibility Rating,(0 of 5)
8,Other Uses,(4 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Platymiscium ulei 1.JPEG, https://pfaf.org/../Admin/PlantImages/Platymiscium ulei 2.JPEG"
13,Summary,
14,Physical Characteristics,"Platymiscium ulei is a deciduous Tree growing to 25 m (82ft) by 20 m (65ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,Platymiscium paraense Huber Platymiscium pinnatum ulei (Harms) Klitgaard
16,Plant Habitats,
17,Edible Uses Description,None known
18,Medicinal Uses,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
20,Other Uses,"Furniture: A few miscellaneous uses that do not fit easily into other headings.,Wood: A list of the trees and shrubs that are noted for having useful wood."
21,Other Uses Description,"Other Uses: The heartwood is reddish-brown with irregular veins; it is clearly demarcated from the 5 - 10cm wide band of light reddish-brown sapwood. The texture is medium; the grain straight or interlocked, sometimes wavy. The wood is moderately heavy to heavy; hard to very hard; elastic; durable, being resistant to fungi, dry wood borers and termites. It seasons somewhat slowly, with only a slight risk of checking or distortio; once dry it is stable in service. It works well with ordinary tools; nailing and screwing are good, but require pre-boring; gluing is correct. A beautiful and expensive timber usually reserved for first class end uses, it is used in construction, high class furniture and cabinet making, billiard cues, turnery, sculpture, musical instruments, panelling, flooring veneer etc[46 , 363 , 848 , 904 ]."
22,Cultivation Details,
23,Cultivation Details Description,"This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[755 ]."
24,Plant Propagation,Seed -
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
