,Attributes,Description,age
0,Latin Name,Polymnia uvedalia,
1,Common Name,Bearsfoot,
2,Family,Asteraceae or Compositae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,Rich woods and thickets[43].,
6,Range,"Eastern N. America - New York to Indiana, Tennessee, Florida and Texas.",
7,Edibility Rating,(0 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PolymniaUvedalia.jpg, https://pfaf.org/../Admin/PlantImages/PolymniaUvedalia2.jpg",
13,Summary,,
14,Physical Characteristics,"Polymnia uvedalia is a PERENNIAL growing to 2.7 m (8ft 10in).  It is in flower in September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,Smallanthus uvedalia. (L.)MacKenzie. ex Small.,
16,Plant Habitats,Woodland Garden Sunny Edge;,
17,Edible Uses Description,None known,
18,Medicinal Uses,"Anodyne: Relieves pain, it is milder than an analgesic.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Poultice: A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc.,Salve: Soothes and heals damaged skin.,Stimulant: Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being.",
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Anodyne  Laxative  Poultice  Salve  StimulantBearsfoot root was used by the North American Indians as a stimulant and laxative remedy[254]. It is perhaps best known for its use as a hair tonic whilst the root is also taken internally as a treatment for non-malignant swollen glands and especially for mastitis[254]. The root is anodyne, laxative and stimulant[4, 61]. The root is said to have a beneficial effect on the liver, stomach and spleen and may be taken to relieve indigestion and counteract liver malfunction[254]. It is said to be of great use when applied externally to stimulate hair growth and is an ingredient of many hair lotions and ointments[4]. A poultice of the bruised root has been used as a dressing and salve on burns, inflammations and cuts[257].",
20,Other Uses,"Hair: Plants used as hair shampoos, tonics, to treat balding etc.",
21,Other Uses Description,None known,
22,Cultivation Details,,
23,Cultivation Details Description,"Requires a warm position in a deep rich soil[1]. For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2].",
24,Plant Propagation,Seed - sow late winter in a warm greenhouse[1]. Prick out the seedlings into individual pots as soon as they are large enough to handle and plant them out after the last expected frosts. Consider giving them some protection such as a cloche until they are growing away well. Division in spring. Basal cuttings in the spring. Harvest the shoots with plenty of underground stem when they are about 8 - 10cm above the ground. Pot them up into individual pots and keep them in light shade in a cold frame or greenhouse until they are rooting well. Plant them out in the summer.,
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
