,Attributes,Description,age
0,Latin Name,Proboscidea louisianica,
1,Common Name,"Unicorn Plant, Ram's horn",
2,Family,Martyniaceae,
3,USDA hardiness,9-11,
4,Known Hazards,None known,
5,Habitats,River banks and waste places[43]. Naturalized as a weed in Portugal and S.E. Russia[50].,
6,Range,"Southern N. America - Indiana to Iowa, Utah, Texas and New Mexico.",
7,Edibility Rating,(2 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ProboscideaLouisianica.jpg, https://pfaf.org/../Admin/PlantImages/ProboscideaLouisianica2.jpg",
13,Summary,,
14,Physical Characteristics,"Proboscidea louisianica is a ANNUAL growing to 1 m (3ft 3in).  See above for USDA hardiness. It is hardy to UK zone 10 and is frost tender.  It is in flower from July to September. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,P. louisiana. Martynia louisiana.,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,"Fruit: ,Root: includes bulbs, corms, tubers, rhizomes etc.,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,"Oil: Oil,Oil: ",
19,Edible Uses Description,"ng fruits, harvested whilst still tender enough to be pierced with a fork, can be sliced and added to soups as a thickening agent[85, 183]. They can also be parboiled and eaten as a vegetable or pickled in vinegar[183]. They are sometimes pickled when immature[1, 27, 61]. The fruit is about 4 - 6mm long[200]. Seed - raw or cooked. High in protein[183] and in oil[207]. An edible oil is obtained from the seed[183]. Root[2]. No more details are given.",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,"Basketry: Plant used in making baskets and other items such as chairs. Includes plants that are only used as an ornamental addition.,Dye: Plants that provide dyes.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.",
23,Other Uses Description,A black dye can be obtained from the seedpods[257]. The long pointed seed capsule horns can be used as the black pattern material in coiled basketry[257].,
24,Cultivation Details,,
25,Cultivation Details Description,"Requires a well-drained porous soil in a warm sheltered position[200]. A frost-tender species, it can be grown outdoors in Britain as a half-hardy annual. This species is closely related to P. fragrans[200]. This species has occasionally been cultivated as a food crop[207, 274].",
26,Plant Propagation,"Seed - sow spring in a warm greenhouse. When they are large enough to handle, prick the seedlings out into individual pots and plant them out after the last expected frosts[200].",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
