,Attributes,Description
0,Latin Name,Prunus americana
1,Common Name,"American Plum, American Wild Plum, Wild Plum"
2,Family,Rosaceae
3,USDA hardiness,3-8
4,Known Hazards,"Although no specific mention has been seen for this species, it belongs to a genus where most, if not all members of the genus produce hydrogen cyanide, a poison that gives almonds their characteristic flavour. This toxin is found mainly in the leaves and seed and is readily detected by its bitter taste. It is usually present in too small a quantity to do any harm but any very bitter seed or fruit should not be eaten. In small quantities, hydrogen cyanide has been shown to stimulate respiration and improve digestion, it is also claimed to be of benefit in the treatment of cancer. In excess, however, it can cause respiratory failure and even death."
5,Habitats,"Rich soils in mixed deciduous woodland, by streams, on the borders of swamps and in hedgerows[43, 62, 82]."
6,Range,"N. America - New York to Florida, extending westwards as far as the Rocky Mountains."
7,Edibility Rating,(3 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PrunusAmericana.jpg, https://pfaf.org/../Admin/PlantImages/PrunusAmericana2.jpg"
13,Summary,"Bloom Color: White. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded."
14,Physical Characteristics,"Prunus americana is a deciduous Tree growing to 6 m (19ft 8in) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower in April, and the seeds ripen in August. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Woodland Garden Sunny Edge;
17,Edible Parts,"Fruit: ,Seed: includes nuts, cereals, peas and beans."
18,Edible Uses,
19,Edible Uses Description,"Fruit - raw, cooked in pies etc or used in preserves[1, 2, 55, 62, 183]. The flesh is succulent and juicy, though it is rather acid with a tough skin[85, 159]. The best forms are pulpy and pleasant tasting[183, 227]. The fruit is best cooked[159], and it can also be dried for later use[85]. The fruit is about 25mm in diameter and contains one large seed[200]. Seed - raw or cooked[85, 183]. Do not eat the seed if it is too bitter - see the notes above on toxicity."
20,Medicinal Uses,"Antiasthmatic: Treats asthma.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Disinfectant: Used for cleaning wounds.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Miscellany: Various medicinal actions that need more clarification.,Poultice: A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiasthmatic  Astringent  Disinfectant  Diuretic  Miscellany  PoulticeA tea made from the scraped inner bark is used as a wash to treat various skin problems and as a mouth wash to treat sores[213]. A poultice of the inner bark is disinfectant and is used as a treatment on cuts and wounds[257]. The bark is astringent, diuretic and pectoral[257]. It has been used to make a cough syrup[257]. An infusion has been used in the treatment of diarrhoea, kidney and bladder complaints[257]. An infusion of the twigs has been used in the treatment of asthma[257]. Although no specific mention has been seen for this species, all members of the genus contain amygdalin and prunasin, substances which break down in water to form hydrocyanic acid (cyanide or prussic acid). In small amounts this exceedingly poisonous compound stimulates respiration, improves digestion and gives a sense of well-being[238]."
