,Attributes,Description,age
0,Latin Name,Prunus avium,
1,Common Name,"Wild Cherry, Sweet cherry",
2,Family,Rosaceae,
3,USDA hardiness,3-7,
4,Known Hazards,"Although no specific mention has been seen for this species, it belongs to a genus where most, if not all members of the genus produce hydrogen cyanide, a poison that gives almonds their characteristic flavour. This toxin is found mainly in the leaves and seed and is readily detected by its bitter taste. It is usually present in too small a quantity to do any harm but any very bitter seed or fruit should not be eaten. In small quantities, hydrogen cyanide has been shown to stimulate respiration and improve digestion, it is also claimed to be of benefit in the treatment of cancer. In excess, however, it can cause respiratory failure and even death.",
5,Habitats,"Better soils in hedgerows and woods, especially in beech woods[5, 17].",
6,Range,"Europe, including Britain, from Scandanavia south and east to N. Africa and W. Asia.",
7,Edibility Rating,(4 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PrunusAvium.jpg, https://pfaf.org/../Admin/PlantImages/PrunusAvium2.jpg",
13,Summary,"Bloom Color: White. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",
14,Physical Characteristics,"Prunus avium is a deciduous Tree growing to 18 m (59ft) by 7 m (23ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower from April to May, and the seeds ripen from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. The plant is not self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,Cerasus nigra. C. sylvestris.,
16,Plant Habitats,Woodland Garden Canopy;,
17,Edible Parts,"Fruit: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,Gum: can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods.,
19,Edible Uses Description,"Fruit - raw or cooked[2, 12, 13]. It can be sweet or bitter but it is not acid[11]. The fruit can be cooked in pies etc or used to make preserves. The fruit contains about 78% water, 8.5 - 14% sugars[74]. The fruit is about 20mm in diameter and contains one large seed[200]. Seed - raw or cooked. Do not eat the seed if it is too bitter - see the notes above on toxicity. An edible gum is obtained by wounding the bark[115, 183].",
20,Medicinal Uses,"Antitussive: Prevents or relieves coughing.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antitussive  Astringent  Diuretic  TonicThe fruit stalks are astringent, diuretic and tonic[4, 7, 238]. A decoction is used in the treatment of cystitis, oedema, bronchial complaints, looseness of the bowels and anaemia[4, 238]. An aromatic resin can be obtained by making small incisions in the trunk[7]. This has been used as an inhalant in the treatment of persistent coughs[7]. Although no specific mention has been seen for this species, all members of the genus contain amygdalin and prunasin, substances which break down in water to form hydrocyanic acid (cyanide or prussic acid). In small amounts this exceedingly poisonous compound stimulates respiration, improves digestion and gives a sense of well-being[238].",
22,Other Uses,"Dye: Plants that provide dyes.,Gum: Gums have a wide range of uses, especially as stabilizers, emulsifiers, thickening agents, adhesives etc.,Tannin: An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
