,Attributes,Description
0,Latin Name,Pueraria montana
1,Common Name,Kudzu Vine
2,Family,Fabaceae
3,USDA hardiness,10-12
4,Known Hazards,"Although no specific mention has been found for this species, the leaves of the closely related Pueraria hirsuta (which might be no more than a synonym for this species) have barbed hairs and these can cause severe irritation[151 ]."
5,Habitats,Thickets and thin woods all over Japan[58 ].
6,Range,"E. Asia - China, Japan, Korea, Myanmar, Thailand, Laos, Vietnam, Malaysia, Indonesia, Philippines. New Guinea,th the Solomon Islands and Vanuatu."
7,Edibility Rating,(4 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(5 of 5)
11,Care (info),"Tender,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Pueraria montana 1.JPEG, https://pfaf.org/../Admin/PlantImages/Pueraria montana 2.JPEG"
13,Summary,"Pueraria montana or Kudzu Vine is a fast-growing perennial vine with extensive root system consisting of a tuberous root stock. It grows about 2 m long and 45cm in diameter. The flowers are reddish-purple and fragrant. The fruits are hairy, long, and flat pods containing three seeds. The leaves are comprised of three oval or triangular leaflets each. Kudzu vine is commonly used in Chinese herbal medicine to treat alcoholism, fever, colds, diarrhea, dysentery, angina pectoris, migraine, measles, boils, swellings, mouth sores, etc. The roots, a staple food in Japan, are cooked or made into noodles. The flowers, young shoots, roots and young leaves can be cooked. The flowers can also be pickled. Aside from the above-mentioned uses, also functions as ground cover and fiber from its stems are made into ropes, cables, coarse cordage, etc."
14,Physical Characteristics,"Pueraria montana is a deciduous Perennial Climber growing to 10 m (32ft) by 0.3 m (1ft in) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Bees, Insects. The plant is not self-fertile. It can fix Nitrogen. Suitable for: medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and  can grow in very acid soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,Bujacia anonychia E. Mey. Dolichos grandiflorus Wall. Dolichos grandifolius Wall. Dolichos hirsutus
16,Plant Habitats,
17,Edible Parts,"Flowers: ,Leaves: ,Root: includes bulbs, corms, tubers, rhizomes etc.,Shoots: ,Stem: this often intergrades into leaves."
18,Edible Uses,
