,Attributes,Description,age
0,Latin Name,Pycnanthemum incanum,
1,Common Name,Hoary Mountain Mint,
2,Family,Lamiaceae or Labiatae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,Dry woods and thickets[43].,
6,Range,"Eastern N. America - New Hampshire to New York, south to New Carolina and Tennessee.",
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Well drained soil,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/PycnanthemumIncanum.jpg, https://pfaf.org/../Admin/PlantImages/PycnanthemumIncanum2.jpg",
13,Summary,,
14,Physical Characteristics,"Pycnanthemum incanum is a PERENNIAL growing to 1 m (3ft 3in).  It is in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.",
15,Synonyms,Koellia incana.,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade;,
17,Edible Parts,,
18,Edible Uses,"Tea: the various herb teas that can be used in place of tea, plus the genuine article.",
19,Edible Uses Description,The fresh or dried leaves are brewed into an aromatic mint-like tea[183].,
20,Medicinal Uses,"Analgesic: Relieves pain.,Carminative: Reduces flatulence and expels gas from the intestines.,Diaphoretic: Induces perspiration.,Febrifuge: Reduces fevers.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Analgesic  Carminative  Diaphoretic  FebrifugeA tea made from the leaves is diaphoretic and carminative[222]. A poultice of the leaves is used in the treatment of headaches[222, 257]. An infusion of the plant is used in the treatment of stomach upsets, fevers, colds and sinus headaches[238]. A warm infusion of the plant has been used to bathe an inflamed penis[257]. The plant is harvested as it comes into flower and can be used fresh or dried.",
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"We have very little information on this species and do not know if it will be hardy in Britain, though judging by its native range it should succeed outdoors in many parts of the country. The following notes are based on the general needs of the genus. Succeeds in most soils[1] but prefers a rich loamy soil in full sun or partial shade with plenty of moisture in the growing season[200].",
26,Plant Propagation,"Seed - sow spring or autumn in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. If there are sufficient seeds they can be sown in an outdoor seedbed in April. Division in spring.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
