,Attributes,Description,age
0,Latin Name,Quercus alba,
1,Common Name,"White Oak, Hybrid oak",
2,Family,Fagaceae,
3,USDA hardiness,3-9,
4,Known Hazards,None known,
5,Habitats,"Dry woods[43], gravelly ridges, sandy plains, rich uplands and moist bottoms[82]. The best specimens are found in deep rich well-drained loamy soils[229].",
6,Range,"Eastern N. America - Maine to Florida, west to Texas and Minnesota.",
7,Edibility Rating,(3 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/QuercusAlba.jpg, https://pfaf.org/../Admin/PlantImages/QuercusAlba2.jpg",
13,Summary,"Bloom Color: Brown. Form: Pyramidal, Rounded.",
14,Physical Characteristics,"Quercus alba is a deciduous Tree growing to 20 m (65ft) by 10 m (32ft) at a slow rate. See above for USDA hardiness. It is hardy to UK zone 4 and is not frost tender.  It is in flower from April to May, and the seeds ripen in October. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Wind. Suitable for: medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil. The plant can tolerates strong winds but not maritime exposure.",
15,Synonyms,,
16,Plant Habitats,Woodland Garden Canopy;,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,Coffee: the various substitutes that can be used instead of coffee.,
19,Edible Uses Description,"Seed - raw or cooked[226]. Somewhat sweet[229]. The seed is about 1 - 3cm long[200] and ripens in its first year[235]. It contains about 6% protein and 65% carbohydrates[213]. It is low in tannin and needs little if any leaching. It is said that those seeds with red or pink blotches on the shell are the sweetest[183]. Any bitter tannins can be leached out by thoroughly washing the dried and ground up seed in water, though many minerals will also be lost. It can take several days or even weeks to properly leach whole seeds, one method was to wrap them in a cloth bag and place them in a stream. Leaching the powder is quicker. A simple taste test can tell when the tannin has been leached. The traditional method of preparing the seed was to bury it in boggy ground overwinter. The germinating seed was dug up in the spring when it would have lost most of its astringency. The seed can be roasted and then eaten, its taste is something like a cross between sunflower seeds and popcorn[183]. The roasted seed is a coffee substitute that is free from caffeine[226].",
20,Medicinal Uses,"Antiseptic: Preventing sepsis, decay or putrefaction, it destroys or arrests the growth of micro-organisms.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Dysentery: Used in treating dysentery - an infection of the intestines that causes diarrhoea containing blood or mucus.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiseptic  Astringent  Dysentery  TonicWhite oak was often used medicinally by several native North American Indian tribes, who valued it especially for its antiseptic and astringent properties and used it in the treatment of many complaints[257]. It is little, if at all, used in modern herbalism. The inner bark contains 6 - 11% tannin, it has powerful antiseptic and astringent properties and is also expectorant and tonic[61, 102, 213, 257]. The bark is boiled and the liquid drunk in the treatment of bleeding piles and diarrhoea, intermittent fevers, coughs and colds, consumption, asthma, lost voice etc[213, 257]. The bark has been chewed as a treatment for mouth sores[257]. Externally, it is used as a wash for skin eruptions, burns, rashes, bruises, ulcers etc and as a vaginal douche[222, 257]. It has also been used as a wash for muscular pains[257]. The bark is best collected in the spring[213]. Any galls produced on the tree are strongly astringent and can be used in the treatment of haemorrhages, chronic diarrhoea, dysentery etc[4].",
22,Other Uses,"Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Repellent: Plants that are said to deter but not necessarily kill various mammals, birds, insects etc.,Tannin: An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
