,Attributes,Description,age
0,Latin Name,Reseda luteola,
1,Common Name,"Weld, Dyer's Rocket",
2,Family,Resedaceae,
3,USDA hardiness,5-9,
4,Known Hazards,None known,
5,Habitats,"Disturbed ground, arable land, walls etc, especially on calcareous soils[17].",
6,Range,"Europe, including Britain, from Sweden south and east to N. Africa and W. Asia.",
7,Edibility Rating,(0 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ResedaLuteola.jpg, https://pfaf.org/../Admin/PlantImages/ResedaLuteola2.jpg",
13,Summary,"A common weed in North America Reseda luteola grows best in well-drained, neutral to slightly alkaline soils, in a sunny or semi-shaded position. A high-quality yellow dye is made from the seed. Mixed with the blue from woad (Isatis tinctoria)  it produces greens such as Lincoln green. It has fallen into disuse with modern chemical dyes. Reseda luteola also has mild narcotic medicinal uses. Common names include dyer's rocket, dyer's weed, weld, woold, and yellow weed.",
14,Physical Characteristics,"Reseda luteola is a BIENNIAL growing to 1.5 m (5ft) by 0.5 m (1ft 8in).  See above for USDA hardiness. It is hardy to UK zone 6 and is not frost tender.  It is in flower from June to August, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, insects. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds; East Wall. In. South Wall. In. West Wall. In.,
17,Edible Parts,,
18,Edible Uses,"Oil: Oil,Oil: ",
19,Edible Uses Description,e known,
20,Medicinal Uses,"Narcotic: Relieves pain, induces drowsiness and gives a sense of well-being.",
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.NarcoticNarcotic (mild).,
22,Other Uses,"Dye: Plants that provide dyes.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.",
23,Other Uses Description,"A deep yellow dye is obtained from the plant, it is of very good quality[17, 46, 74]. The plant is harvested as the last flowers fade[115]. Most of the dye is found in the seed[115]. An oil is obtained from the seed, used in lighting[100].",
24,Cultivation Details,,
25,Cultivation Details Description,"Easily grown in any well-drained neutral to slightly alkaline soil in a sunny position or in some shade if the summers are long and hot[200]. At one time this plant was commonly cultivated for the dye obtained from the leaves and seed but with the advent of chemical dyes it has fallen into disuse[1, 17, 46]. A good plant for bees and butterflies[200]. Plants dislike root disturbance, they can be transplanted but care must be taken not to break the tap root[169].",
26,Plant Propagation,Seed - sow in situ in the spring and only just cover the seed. An autumn sowing usually succeeds in areas where winter temperatures do not fall below about -10°c[200]. The seed germinates in the autumn in the wild.,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
