,Attributes,Description
0,Latin Name,Rhus typhina
1,Common Name,"Stag's Horn Sumach, Velvet Sumac, Staghorn Sumac"
2,Family,Anacardiaceae
3,USDA hardiness,4-8
4,Known Hazards,"There are some suggestions that the sap of this species can cause a skin rash in susceptible people, but this has not been substantiated. See also notes in 'Cultivation Details'."
5,Habitats,"Usually found in upland sites on rich soils, but it is also found in gravel and sandy nutrient-poor soils. It grows by streams and swamps, along roadsides, railway embankments and edges of woods[229]."
6,Range,Eastern N. America - New Brunswick to the southern Appalachian mountains and west to Iowa.
7,Edibility Rating,(4 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/RhusTyphina.jpg, https://pfaf.org/../Admin/PlantImages/RhusTyphina2.jpg"
13,Summary,"Bloom Color: Yellow. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Upright or erect."
14,Physical Characteristics,"Rhus typhina is a deciduous Shrub growing to 6 m (19ft) by 6 m (19ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 3 and is not frost tender.  It is in flower from June to August, and the seeds ripen from October to December. The species is dioecious (individual flowers are either male or female, but only one sex is to be found on any one plant so both male and female plants must be grown if seed is required).  and is pollinated by Bees. The plant is not self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought. The plant can tolerates strong winds but not maritime exposure."
15,Synonyms,R. hirta. non Engl. R. viridiflora.
16,Plant Habitats,Woodland Garden Secondary; Sunny Edge; Dappled Shade; Hedge;
17,Edible Parts,Fruit: 
18,Edible Uses,"Oil: Oil,Drink: not including plant saps, tea or coffee substitutes.,Oil: "
19,Edible Uses Description,"ruit - cooked[22, 62]. A very sour flavour, they are used in pies[183]. The fruit is rather small and with very little flesh, but it is produced in quite large clusters and so is easily harvested. When soaked for 10 - 30 minutes in hot or cold water it makes a very refreshing lemonade-like drink (without any fizz of course)[55, 85, 95. 101, 102, 183]. The mixture should not be boiled since this will release tannic acids and make the drink astringent."
20,Medicinal Uses,"Antihaemorrhoidal: Treats haemorrhoids (piles). This would probably be best added to another heading.,Antiseptic: Preventing sepsis, decay or putrefaction, it destroys or arrests the growth of micro-organisms.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Blood purifier: Purifies the blood.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Emetic: Induces vomiting.,Galactogogue: Promotes the flow of milk in a nursing mother.,Poultice: A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc.,Stomachic: Aids and improves the action of the stomach.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.,VD: Used in the treatment of venereal disease,Warts: Used in the treatment of warts, corns etc."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antihaemorrhoidal  Antiseptic  Astringent  Blood purifier  Diuretic  Emetic  Galactogogue  Poultice  Stomachic  Tonic  VD  WartsStag's horn sumach was often employed medicinally by several native North American Indian tribes who valued it especially for its astringent qualities[257]. It is little used in modern herbalism. Some caution is advised in the use of the leaves and stems of this plant, see the notes above on toxicity. The bark is antiseptic, astringent, galactogogue and tonic[222, 257]. An infusion is used in the treatment of diarrhoea, fevers, piles, general debility, uterine prolapse etc[213, 222]. An infusion is also said to greatly increase the milk flow of a nursing mother - small pieces of the wood were also eaten for this purpose[257]. The inner bark is said to be a valuable remedy for piles[257]. The roots are astringent, blood purifier, diuretic and emetic[222]. An infusion of the roots, combined with purple coneflower (Echinacea purpurea) has been used in the treatment of venereal disease[257]. A poultice of the roots has been used to treat boils[257]. The leaves are astringent. They have been used in the treatment of asthma, diarrhoea and stomatosis[222]. An infusion of the fruits has been used as a tonic to improve the appetite and as a treatment for diarrhoea[257]. The berries are astringent and blood purifier[257]. They were chewed as a remedy for bed-wetting[222, 257]. A tea made from the berries has been used to treat sore throats[213]. The flowers are astringent and stomachic. An infusion has been used to treat stomach pains[257]. The sap has been applied externally as a treatment of warts[226]. Some caution is advised here since the sap can cause a rash on many people[K]."
22,Other Uses,"Dye: Plants that provide dyes.,Hedge: Plants that can be grown as hedges.,Hedge: Plants that can be grown as hedges.,Ink: Plants that can be used as an ink.,Mordant: Used for making a dye more permanent, it also affects the colour of the dye.,Musical: Specific mention of plants used as musical instruments. Does not include the various woods that can be used for making musical instruments.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.,Pipes: For carrying water etc.,Shelterbelt: Wind resistant plants than can be grown to provide shelter in the garden etc.,Soil stabilization: Plants that can be grown in places such as sand dunes in order to prevent erosion by wind, water or other agents.,Tannin: An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc.,Wood: A list of the trees and shrubs that are noted for having useful wood."
23,Other Uses Description,"The leaves are rich in tannin, up to 48% has been obtained in a controlled plantation[223]. They can be collected as they fall in the autumn and used as a brown dye or as a mordant[169, 171]. The bark, especially the root bark, and the fruits are also very rich in tannin[82, 159, 169]. A yellow dye can be obtained from the roots[257]. An orange dye can be obtained from the inner bark and central pith of the stem, mixed with bloodroot (Sanguinaria canadensis)[257]. A black ink can be made by boiling the leaves and the fruit[226]. An oil is extracted from the seeds[4]. It attains a tallow-like consistency on standing and is used to make candles. These burn brilliantly, though they emit a pungent smoke[4].  are made from the young shoots and are used for drawing the sap of sugar maples (Acer spp)[82]. They are also used as flutes[159]. The plant has an extensive root system and is planted as a windbreak screen and to prevent soil erosion[200].  - soft, light, brittle, coarse grained[82, 101]. It weighs 27lb per cubic foot[235]. Of no commercial value, though it is sometimes used as a rough construction wood or is employed in turning[226]."
24,Cultivation Details,
