,Attributes,Description
0,Latin Name,Ruta graveolens
1,Common Name,"Rue, Common rue, Herb of Grace, Garden Rue"
2,Family,Rutaceae
3,USDA hardiness,4-10
4,Known Hazards,"All parts of this plant are poisonous in large quantities[19]. It should not be used at all by pregnant women since it can induce abortions[165]. The sap contains furanocoumarins, sensitizing the skin to light and causing blistering or dermatitis in sensitive people[200]."
5,Habitats,"Rocks, old walls and dry hills, mainly on limestone[89]."
6,Range,S. Europe.
7,Edibility Rating,(1 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(3 of 5)
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/RutaGraveolens.jpg, https://pfaf.org/../Admin/PlantImages/RutaGraveolens2.jpg"
13,Summary,"Bloom Color: Yellow. Main Bloom Time: Early fall, Late summer. Form: Upright or erect."
14,Physical Characteristics,"Ruta graveolens is an evergreen Shrub growing to 0.5 m (1ft 8in) by 0.5 m (1ft 8in) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 5 and is not frost tender. It is in leaf all year, in flower from June to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil and can tolerate drought."
15,Synonyms,Ruta hortensis Mill.
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Ground Cover; Cultivated Beds; East Wall. In. South Wall. In. West Wall. In.
17,Edible Parts,Leaves: 
18,Edible Uses,"Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.,Rutin: often used as a food supplement.,Tea: the various herb teas that can be used in place of tea, plus the genuine article."
19,Edible Uses Description,"TeaLeaves - raw or used as a seasoning[2, 7, 19, 21, 27, 89]. It is occasionally eaten in salads[4], but is strongly aromatic and slightly toxic, so should only be used in small quantities[7, 19, 148, 183]. The taste is strong and bitter[238]. The leaves contain rutin, which has a beneficial effect upon the circulatory system[218]. Some caution is advised, see notes on toxicity above. The leaves can be brewed into a tea[183]."
20,Medicinal Uses,"Abortifacient: Causes an abortion.,Anthelmintic: Expels parasites from the gut.,Antidiarrhoeal: Provides symptomatic relief for diarrhoea. Also see Astringent.,Antidote: Counters poisoning.,Antiinflammatory: Reduces inflammation of joints, injuries etc.,Antispasmodic: Relaxes muscular spasms and cramps, calming nervous irritation.,Carminative: Reduces flatulence and expels gas from the intestines.,Emetic: Induces vomiting.,Emmenagogue: Promotes or increases the menstrual flow. In early stages of pregnancy it can induce an abortion.,Expectorant: Clears phlegm from the chest by inducing coughing.,Haemostatic: Controls internal bleeding.,Homeopathy: A plant used in homeopathic treatments.,Ophthalmic: Treats eye complaints.,Rubefacient: A counter-irritant and external stimulant, it produces inflammation and redness of the skin.,Stimulant: Excites or quickens activity of the physiological processes. Faster acting than a tonic but differing from a narcotic in that it does not give a false sense of well-being.,Stomachic: Aids and improves the action of the stomach."
