,Attributes,Description,age
0,Latin Name,Securidaca longipedunculata,
1,Common Name,Violet Tree,
2,Family,Polygalaceae,
3,USDA hardiness,10-12,
4,Known Hazards,"The tree, but especially the roots, are toxic if taken in excess[418 ]. A saponin found in the roots can cause severe damage to bone marrow and haemolysis when in contact with blood[303 ]. The solid portion of the root is said to be the most lethal[303 ]. The root bark also contains 0.42% methyl salicylate. Severe poisoning can result from ingestion of 10 - 30ml of methyl salicylate[303 ]. In Zambia the crushed and powdered roots are used as an intravaginal or intrarectal poison, and in Gambia as a fish poison[303 ]. Bark, roots and seeds are used in arrow poison, and root can be used as a snake repellent[303 ].",
5,Habitats,"Woodland and arid savannah soils[295 ]. Occurs in a broad range of vegetation, from semi-arid scrub to dense forest, including many woodland and bush habitats and gallery forests at elevations up to 1,600 metres[308 , 418 ].",
6,Range,"Africa - widespread from Senegal to Eritrea and Ethiopia, south to S. Africa, avoiding the moistest regions.",
7,Edibility Rating,(1 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(4 of 5),
11,Care (info),"Tender,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/SecuridacaLongipedunculata.jpg, https://pfaf.org/../Admin/PlantImages/SecuridacaLongipedunculata2.jpg",
13,Summary,"Small to medium-sized tree, measuring between 6 and 12 meters tall. The species suffers from over-harvesting for use in local medicines. Periodic droughts and bush fires are also a hazard for the propagation of this tree. The plant is commonly gathered from the wild for medicinal use and also as a food and source of materials.",
14,Physical Characteristics,"Securidaca longipedunculata is a deciduous Tree growing to 6 m (19ft 8in).  See above for USDA hardiness. It is hardy to UK zone 10. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,Leaves: ,
18,Edible Uses,,
19,Edible Uses Description,"Young leaves - cooked[418]. Eaten as a vegetable or in sauces[303, 418].",
20,Medicinal Uses,"Antiinflammatory: Reduces inflammation of joints, injuries etc.,Antitussive: Prevents or relieves coughing.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Odontalgic: Treats toothache (temporary measure only) and other problems of the teeth and gums.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiinflammatory  Antitussive  Laxative  OdontalgicThe plant has 100 medicinal uses[214]. The violet tree is the most popular of all the traditional medicinal plants in South Africa, where it is used for almost every conceivable ailment[295]. It is also popularly used throughout its range. The roots are extremely poisonous, smell like wintergreen oil and contain methyl salicylate which may partly indicate why they have a wide diversity of uses, such as arrow poison in some parts of Africa including West Africa[295]. The plant is said to have 100 medicinal uses[214].The roots and bark are taken orally either powdered or as infusions for treating chest complaints, headache, inflammation, abortion, ritual suicide, tuberculosis, infertility problems, venereal diseases and for constipation[295]. Toothache can also be relieved by chewing the roots[295]. Mixed roots of the violet tree and dwarf custard apple are used to treat gonorrhoea. Powdered roots or wood scrapings are used to treat headache by rubbing them on the forehead, while infusions from the roots are used to wash tropical ulcer[295]s. In Limpopo, the vhaVenda people use roots for mental disorders and as protection against children's illness during breastfeeding[295]. It is also believed that many African people use the powdered violet tree roots as a sexual boost for men[295]. The vhaVenda people mix the powdered root with mageu (maize or sorghum beverage) and it is given to a man to drink if he is sexually weak. In Zimbabwe, the roots are used to treat people who are believed to be possessed by evil spirits, for snakebite as well as for coughs when pounded with water and salt[295].",
22,Other Uses,"Basketry: Plant used in making baskets and other items such as chairs. Includes plants that are only used as an ornamental addition.,Charcoal: Used for fuel, drawing, deodorant, filter, fertilizer etc.,Cosmetic: Used to improve the physical appearence of a person.,Fibre: Used for making cloth, rope, paper etc.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Hedge: Plants that can be grown as hedges.,Soap: Plants used directly as a soap substitute.,String: Plants that can be used for string or can be easily made into a string. See also Fibre. Plants for ropes may be included.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
23,Other Uses Description,"Agroforestry Uses:An ornamental plant, it can be grown as a hedge[774].Other Uses: The bark of the roots, or the pounded seeds, can be used as a soap for washing and bleaching items[295, 774].A fibre obtained from the inner bark can be used like cotton to weave a coarse cloth[308]. The fibre obtained from young branches is particularly strong and durable[303, 774]. The fibre is said to be of a similar quality to flax (Linum usitatissimum)[46]. It is also used for fishing nets, baskets and strong threads that are used to sew bark cloth[295].The seeds are rich in oil[774]. It is used cosmetically or as a furniture stain[303].The roots at 350 ppm are 100% effective as a molluscicide[303]..The wood is light yellow with markedly dark growth rings. It is soft, spongy, but durable and resists the attacks of termites. It is liable to split upon drying. Of little value, it is used for poles, hut construction, brooms etc[303, 774].The wood makes a good fuel and is used to make charcoal[303, 418, 774]. Ornamental.",
24,Cultivation Details,,
